,x
TCGA-GJ-A3OU-01A-31R-A38B-07,11.1131587622
TCGA-G3-A7M9-01A-23R-A352-07,2.62757523208
TCGA-ED-A627-01A-12R-A311-07,11.4221875492
TCGA-DD-AACB-01A-11R-A41C-07,5.64410825849
TCGA-CC-5264-01A-01R-A131-07,1.06091498968
TCGA-DD-AAW3-01A-11R-A41C-07,5.28299083437
TCGA-DD-AA3A-01A-11R-A37K-07,37.3841279281
TCGA-DD-AAEI-01A-11R-A41C-07,1.44169533764
TCGA-DD-AADF-01A-11R-A41C-07,5.43056903866
TCGA-UB-A7MA-01A-11R-A33R-07,37.1224524251
TCGA-EP-A3JL-01A-11R-A213-07,9.66911770697
TCGA-DD-AACZ-01A-11R-A41C-07,3.36889308738
TCGA-2Y-A9HA-01A-11R-A39D-07,1.34210614622
TCGA-ED-A82E-01A-11R-A352-07,26.460657372
TCGA-ED-A66Y-01A-11R-A311-07,16.0296178622
TCGA-DD-AACF-01A-11R-A41C-07,1.42261454264
TCGA-MI-A75G-01A-11R-A32O-07,6.59472722231
TCGA-DD-AAEG-01A-11R-A39D-07,4.20400678338
TCGA-DD-AAD2-01A-11R-A41C-07,9.1213735343
TCGA-ZS-A9CF-02A-11R-A38B-07,3.36548320041
TCGA-UB-A7MB-01A-11R-A33R-07,13.2118158345
TCGA-DD-AACQ-01A-11R-A41C-07,1.06118441823
TCGA-2Y-A9GW-01A-11R-A38B-07,11.6577217341
TCGA-G3-A3CG-01A-11R-A213-07,5.99062262207
TCGA-DD-AAEH-01A-11R-A41C-07,8.72118382323
TCGA-G3-A5SI-01A-31R-A27V-07,4.96461438718
TCGA-BC-4072-01B-11R-A155-07,6.75651774009
TCGA-KR-A7K2-01A-12R-A33R-07,9.26210933411
TCGA-RC-A6M3-01A-11R-A32O-07,6.37752418174
TCGA-EP-A3RK-01A-11R-A22L-07,12.7193844602
TCGA-UB-A7MC-01A-11R-A33R-07,11.3418848879
TCGA-MI-A75H-01A-11R-A32O-07,8.29734087709
TCGA-DD-AADY-01A-11R-A41C-07,4.42586714234
TCGA-BC-A10W-01A-11R-A131-07,14.912282562
TCGA-DD-AADN-01A-11R-A41C-07,1.8457886119
TCGA-DD-AAVX-01A-11R-A41C-07,10.8706263201
TCGA-QA-A7B7-01A-11R-A32O-07,8.54053817585
TCGA-G3-A25Z-01A-11R-A16W-07,2.83599382342
TCGA-DD-A39V-01A-11R-A213-07,6.21309501327
TCGA-5C-A9VH-01A-11R-A37K-07,13.9898903409
TCGA-ZP-A9D4-01A-11R-A37K-07,8.11510763297
TCGA-G3-AAV6-01A-21R-A37K-07,12.4575923543
TCGA-DD-A4NG-01A-11R-A27V-07,8.27281994745
TCGA-BC-A10X-01A-11R-A131-07,7.64343170161
TCGA-DD-A1EF-01A-11R-A131-07,22.6308774252
TCGA-G3-A5SL-01A-11R-A27V-07,6.19844568266
TCGA-EP-A12J-01A-11R-A131-07,9.46176361541
TCGA-T1-A6J8-01A-11R-A32O-07,0.952486826922
TCGA-G3-AAV0-01A-11R-A37K-07,5.4467531663
TCGA-CC-A9FV-01A-11R-A37K-07,7.66198412884
TCGA-XR-A8TG-01A-11R-A36F-07,2.63140858625
TCGA-ED-A8O5-01A-11R-A36F-07,18.2781037192
TCGA-DD-AACO-01A-11R-A41C-07,8.06357302423
TCGA-DD-A3A3-01A-11R-A22L-07,2.27879494086
TCGA-2Y-A9H6-01A-11R-A39D-07,13.6010701978
TCGA-LG-A9QD-01A-11R-A38B-07,4.97640939328
TCGA-FV-A496-01A-11R-A266-07,0.843121351267
TCGA-DD-AAE0-01A-11R-A41C-07,17.445517807
TCGA-DD-AACI-01A-11R-A41C-07,6.78633186045
TCGA-DD-AAD0-01A-11R-A41C-07,4.51365471969
TCGA-WQ-AB4B-01A-11R-A41C-07,7.12169372119
TCGA-DD-AACW-01A-11R-A41C-07,24.962485527
TCGA-BD-A2L6-01A-11R-A213-07,3.56446012668
TCGA-DD-A3A6-01A-11R-A22L-07,13.7023765521
TCGA-DD-AAW1-01A-11R-A41C-07,4.82783694433
TCGA-FV-A3I0-01A-11R-A22L-07,18.1676546691
TCGA-DD-A39X-01A-11R-A213-07,7.46962279302
TCGA-3K-AAZ8-01A-12R-A39D-07,12.410047394
TCGA-K7-A5RF-01A-11R-A28V-07,5.5272015601
TCGA-DD-A115-01A-11R-A131-07,2.85761064621
TCGA-ED-A7PY-01A-11R-A33R-07,13.6412512908
TCGA-ED-A66X-01A-11R-A311-07,17.6119860648
TCGA-ZP-A9CY-01A-11R-A38B-07,6.07887172734
TCGA-DD-AACG-01A-11R-A41C-07,0.996373841546
TCGA-DD-A73B-01A-12R-A32O-07,3.69137484903
TCGA-RC-A7S9-01A-11R-A33R-07,4.78923318161
TCGA-BC-A10S-01A-22R-A131-07,12.6019105856
TCGA-DD-A4NB-01A-12R-A266-07,8.20863800854
TCGA-CC-A5UC-01A-11R-A28V-07,9.428560078
TCGA-EP-A26S-01A-11R-A16W-07,9.0560287917
TCGA-K7-A6G5-01A-11R-A311-07,5.63616380484
TCGA-2Y-A9H1-01A-11R-A38B-07,5.63207521253
TCGA-G3-A25S-01A-11R-A16W-07,8.87107129518
TCGA-DD-AAE3-01A-11R-A41C-07,4.20795227855
TCGA-2Y-A9H3-01A-11R-A38B-07,7.52990396477
TCGA-CC-5261-01A-01R-A131-07,18.099644412
TCGA-BC-A217-01A-11R-A155-07,11.3140946909
TCGA-MI-A75C-01A-11R-A32O-07,13.4119085664
TCGA-DD-AAVY-01A-11R-A41C-07,10.9920783935
TCGA-DD-AADG-01A-11R-A41C-07,4.01892745642
TCGA-2Y-A9H7-01A-11R-A39D-07,12.1709154579
TCGA-BW-A5NO-01A-11R-A27V-07,9.25810231193
TCGA-MR-A520-01A-11R-A266-07,4.29707959671
TCGA-FV-A3R2-01A-11R-A22L-07,0.962353250256
TCGA-DD-A1EG-01A-11R-A213-07,11.2783683656
TCGA-CC-A7IF-01A-11R-A33J-07,2.17736915559
TCGA-DD-AADC-01A-11R-A41C-07,10.4921698256
TCGA-EP-A2KA-01A-11R-A180-07,10.5721380682
TCGA-DD-A39Z-01A-11R-A213-07,7.17421416618
TCGA-DD-AAE7-01A-11R-A41C-07,6.06983783076
TCGA-YA-A8S7-01A-11R-A37K-07,11.8939591608
TCGA-CC-5260-01A-01R-A131-07,27.390445376
TCGA-BC-A3KF-01A-11R-A213-07,3.76537286268
TCGA-DD-AADI-01A-11R-A41C-07,20.7363801251
TCGA-DD-A3A5-01A-11R-A22L-07,2.49680509678
TCGA-FV-A3I1-01A-11R-A22L-07,8.25398147116
TCGA-G3-A25U-01A-11R-A16W-07,6.25199471957
TCGA-DD-AADB-01A-11R-A41C-07,16.3931803931
TCGA-G3-AAV1-01A-11R-A38B-07,5.79530921746
TCGA-G3-AAUZ-01A-11R-A38B-07,3.13258392165
TCGA-G3-AAV4-01A-11R-A38B-07,1.34588871459
TCGA-FV-A3R3-01A-11R-A22L-07,7.75368482037
TCGA-2Y-A9H4-01A-11R-A38B-07,1.81039508976
TCGA-CC-A3M9-01A-11R-A213-07,17.1031586218
TCGA-DD-A4NJ-01A-11R-A27V-07,4.97987584944
TCGA-DD-AACH-01A-11R-A41C-07,1.53005994167
TCGA-CC-A8HT-01A-11R-A36F-07,8.66407782386
TCGA-DD-AAEB-01A-11R-A41C-07,2.8371909951
TCGA-DD-A4NE-01A-11R-A27V-07,12.1433566917
TCGA-DD-A114-01A-11R-A131-07,16.7075770034
TCGA-5C-AAPD-01A-21R-A39D-07,5.11772556522
TCGA-DD-A1EA-01A-11R-A131-07,10.8335766558
TCGA-XR-A8TD-01A-12R-A39D-07,5.16023054331
TCGA-ZS-A9CG-01A-11R-A37K-07,5.16952706148
TCGA-2Y-A9H2-01A-12R-A38B-07,24.8748396843
TCGA-FV-A2QQ-01A-11R-A22L-07,10.6435417911
TCGA-CC-A3MC-01A-11R-A22L-07,4.51655749501
TCGA-DD-AAE1-01A-11R-A41C-07,10.0124815403
TCGA-DD-A4NN-01A-11R-A28V-07,16.8798179344
TCGA-DD-AACK-01A-11R-A41C-07,15.6871605661
TCGA-G3-A5SK-01A-11R-A27V-07,1.63019790607
TCGA-DD-A4NP-01A-11R-A28V-07,5.44185423153
TCGA-DD-AADL-01A-11R-A41C-07,4.67145768741
TCGA-4R-AA8I-01A-11R-A38B-07,4.63714750621
TCGA-KR-A7K8-01A-11R-A33J-07,7.27363863045
TCGA-DD-A73A-01A-12R-A32O-07,6.43686654212
TCGA-BC-A8YO-01A-11R-A37K-07,18.1610884909
TCGA-2Y-A9GY-01A-11R-A38B-07,13.1429882318
TCGA-DD-AAVR-01A-11R-A41C-07,6.43821927325
TCGA-DD-AAE6-01A-11R-A41C-07,0.65683615584
TCGA-G3-A25T-01A-11R-A16W-07,14.0170897431
TCGA-BD-A3EP-01A-11R-A22L-07,11.0061326044
TCGA-FV-A23B-01A-11R-A16W-07,8.58653226065
TCGA-DD-AACT-01A-11R-A41C-07,6.97566391419
TCGA-CC-A7IL-01A-11R-A33R-07,2.83980149916
TCGA-G3-AAV7-01A-11R-A38B-07,5.53757041345
TCGA-DD-A11D-01A-11R-A131-07,3.13691769868
TCGA-CC-A9FU-01A-11R-A37K-07,1.28290296786
TCGA-2Y-A9HB-01A-11R-A39D-07,6.20468462656
TCGA-DD-AAC9-01A-11R-A41C-07,6.03246634957
TCGA-DD-AAVU-01A-11R-A41C-07,7.33736903527
TCGA-DD-AAEK-01A-11R-A41C-07,6.72527570852
TCGA-CC-5258-01A-01R-A131-07,4.63227710308
TCGA-FV-A495-01A-11R-A266-07,7.76930503212
TCGA-UB-A7MF-01A-11R-A33J-07,6.65539906823
TCGA-CC-A7IK-01A-12R-A33R-07,1.59742889011
TCGA-DD-AAED-01A-12R-A41C-07,8.29362394296
TCGA-CC-5262-01A-01R-A131-07,11.9846374784
TCGA-LG-A6GG-01A-11R-A311-07,1.95869262543
TCGA-G3-A7M6-01A-11R-A33R-07,14.1821115258
TCGA-2Y-A9GV-01A-11R-A38B-07,3.31288099214
TCGA-DD-AACJ-01A-11R-A41C-07,5.17455332322
TCGA-DD-A3A2-01A-11R-A213-07,4.18530073984
TCGA-ED-A97K-01A-21R-A38B-07,17.8392597577
TCGA-CC-A5UD-01A-11R-A28V-07,29.7626730337
TCGA-DD-AAE9-01A-11R-A41C-07,7.94146873875
TCGA-DD-AAC8-01A-11R-A41C-07,14.4269125273
TCGA-WJ-A86L-01A-12R-A39D-07,0.873175618297
TCGA-DD-A4NF-01A-11R-A27V-07,7.05036027732
TCGA-DD-A1EB-01A-11R-A131-07,4.75920135102
TCGA-GJ-A9DB-01A-11R-A37K-07,3.89273252035
TCGA-2Y-A9H9-01A-21R-A39D-07,2.53583538324
TCGA-DD-AAD5-01A-11R-A41C-07,16.020665583
TCGA-5R-AAAM-01A-12R-A41C-07,3.26303300426
TCGA-ED-A4XI-01A-11R-A266-07,8.7786961605
TCGA-BC-A10Y-01A-11R-A131-07,1.48196107604
TCGA-DD-A73E-01A-12R-A32O-07,4.00394465507
TCGA-DD-AADK-01A-11R-A41C-07,8.19633446332
TCGA-EP-A2KB-01A-11R-A180-07,25.9051773859
TCGA-XR-A8TF-01A-11R-A36F-07,9.28275958168
TCGA-DD-AADM-01A-11R-A41C-07,8.27610570682
TCGA-GJ-A6C0-01A-12R-A311-07,5.71488055714
TCGA-DD-A1EJ-01A-11R-A155-07,11.0830940379
TCGA-2V-A95S-01A-11R-A37K-07,10.5381756626
TCGA-K7-AAU7-01A-11R-A38B-07,11.3570867814
TCGA-DD-AAW0-01A-11R-A41C-07,10.6250278734
TCGA-XR-A8TE-01A-11R-A36F-07,9.26900595284
TCGA-G3-A6UC-01A-21R-A33J-07,4.67478786247
TCGA-BC-A112-01A-11R-A131-07,15.1723967155
TCGA-ED-A459-01A-11R-A266-07,6.56107093357
TCGA-NI-A8LF-01A-11R-A36F-07,1.57974530265
TCGA-BC-A5W4-01A-11R-A28V-07,4.98389548508
TCGA-CC-A7IE-01A-21R-A38B-07,21.3766228054
TCGA-5R-AA1D-01A-11R-A38B-07,10.8040213769
TCGA-CC-A7II-01A-11R-A33J-07,18.5345939347
TCGA-DD-AACA-02B-11R-A41C-07,9.38077949434
TCGA-DD-A73C-01A-12R-A33J-07,6.70400260704
TCGA-KR-A7K7-01A-11R-A33J-07,17.7729876027
TCGA-DD-AAVP-01A-11R-A41C-07,3.95985938357
TCGA-DD-AAD1-01A-11R-A41C-07,11.1253240233
TCGA-DD-AADS-01A-11R-A41C-07,3.3901818369
TCGA-DD-A3A1-01A-11R-A213-07,7.85829203737
TCGA-RC-A7SB-01A-21R-A352-07,4.63064492001
TCGA-DD-AAVZ-01A-11R-A41C-07,14.6337075524
TCGA-2Y-A9GT-01A-11R-A38B-07,3.92825166948
TCGA-DD-AADQ-01A-11R-A41C-07,9.51499845241
TCGA-DD-A119-01A-11R-A131-07,4.54192709387
TCGA-DD-A4NO-01A-11R-A28V-07,5.20685265112
TCGA-BW-A5NP-01A-11R-A27V-07,16.9528353938
TCGA-DD-A4NA-01A-11R-A266-07,8.99238050644
TCGA-MI-A75E-01A-11R-A32O-07,5.34338764886
TCGA-BC-A10Q-01A-11R-A131-07,15.1284196861
TCGA-DD-AAEE-01A-11R-A41C-07,1.91086911903
TCGA-BC-A3KG-01A-11R-A213-07,8.61702345069
TCGA-DD-A3A7-01A-11R-A22L-07,0.718480508664
TCGA-CC-A8HV-01A-11R-A36F-07,9.00734673095
TCGA-DD-AACN-01A-11R-A41C-07,20.347685067
TCGA-G3-A25V-01A-11R-A16W-07,5.93384161262
TCGA-DD-AAVS-01A-11R-A41C-07,18.2988464942
TCGA-CC-A3MB-01A-11R-A213-07,10.0613357268
TCGA-ZP-A9D0-01A-11R-A37K-07,6.27786691018
TCGA-DD-AAE2-01A-11R-A41C-07,4.00328989128
TCGA-RG-A7D4-01A-12R-A33R-07,12.0460696658
TCGA-DD-A4NK-01A-11R-A28V-07,6.3488386558
TCGA-DD-A39W-01A-11R-A213-07,7.32786494942
TCGA-DD-AADJ-01A-11R-A41C-07,10.0952936705
TCGA-DD-AACA-01A-11R-A41C-07,6.74799818097
TCGA-CC-5263-01A-01R-A131-07,2.70980228704
TCGA-DD-A11C-01A-11R-A131-07,7.40143829275
TCGA-DD-A4NL-01A-11R-A28V-07,5.13613450136
TCGA-HP-A5N0-01A-11R-A28V-07,5.05222569821
TCGA-ZP-A9D1-01A-11R-A38B-07,8.93173429953
TCGA-ES-A2HS-01A-11R-A180-07,2.57419798197
TCGA-UB-AA0U-01A-11R-A38B-07,6.99128061827
TCGA-DD-AAD3-01A-11R-A41C-07,4.6595050392
TCGA-BW-A5NQ-01A-11R-A27V-07,1.99244428111
TCGA-DD-A11B-01A-11R-A131-07,10.5532509879
TCGA-G3-A25Y-01A-11R-A16W-07,11.3408595529
TCGA-DD-AACA-02A-11R-A41C-07,6.55074817401
TCGA-CC-A7IH-01A-11R-A33J-07,7.32049509599
TCGA-MR-A8JO-01A-12R-A36F-07,9.7162327258
TCGA-2Y-A9GX-01A-11R-A38B-07,8.43299517868
TCGA-DD-AACS-01A-11R-A41C-07,11.0336493945
TCGA-K7-A5RG-01A-11R-A28V-07,4.17193437729
TCGA-DD-A1ED-01A-11R-A155-07,5.03226332022
TCGA-DD-AADV-01A-11R-A39D-07,1.78379665335
TCGA-DD-AAD8-01A-11R-A41C-07,1.36372865559
TCGA-DD-A4NQ-01A-21R-A28V-07,1.09868946973
TCGA-NI-A4U2-01A-11R-A28V-07,1.13062283198
TCGA-G3-AAV5-01A-11R-A37K-07,8.40173367393
TCGA-G3-AAV2-01A-11R-A37K-07,7.53278263367
TCGA-BC-A216-01A-11R-A155-07,7.52010291581
TCGA-DD-AAEA-01A-11R-A41C-07,2.2525174486
TCGA-EP-A2KC-01A-11R-A213-07,5.74547496384
TCGA-RC-A6M5-01A-11R-A32O-07,6.51352643678
TCGA-2Y-A9GU-01A-11R-A38B-07,4.35604389786
TCGA-BC-A10T-01A-11R-A131-07,6.05969946069
TCGA-RC-A7SK-01A-11R-A352-07,3.35897430599
TCGA-BC-A69H-01A-11R-A311-07,1.35769840603
TCGA-DD-AAVW-01A-11R-A41C-07,7.36935077828
TCGA-DD-AADO-01A-11R-A41C-07,15.7314137484
TCGA-ZS-A9CD-01A-11R-A37K-07,12.133284959
TCGA-DD-AACU-01A-11R-A41C-07,10.1019301167
TCGA-G3-A7M5-01A-11R-A33R-07,3.76617271133
TCGA-WQ-A9G7-01A-11R-A37K-07,19.8669358357
TCGA-G3-A5SJ-01A-11R-A27V-07,8.18622910903
TCGA-O8-A75V-01A-11R-A32O-07,5.56407907862
TCGA-ED-A5KG-01A-11R-A27V-07,17.8271719565
TCGA-CC-A8HU-01A-11R-A36F-07,7.56927193671
