gene,logFC,logCPM,P.Value,adj.P.Val
Bpifb9b,4.660623334,-2.903254834,0.012722705,0.263555574
Gm45901,4.101985655,-3.126198483,0.048445347,0.520435877
Defb11,0.6624303,0.498890667,0.096472711,0.685567537
Tpsb2,-5.03195974,-2.713051445,0.00210367,0.087959892
RP23-371K6.1,-5.031194333,-2.713237006,0.00135958,0.065154521
Igkv4-80,-5.024835631,-2.713859701,0.026067195,0.387240233
Gm17409,-4.90997905,-2.77445969,0.00381985,0.130062386
Fam110c,-4.909268915,-2.774592897,0.003799472,0.129868903
Gm7125,3.177962424,-3.390101758,0.300805521,0.982492329
Rps29-ps,2.672776177,-3.489575515,0.523828802,1
Lypd2,-0.159991989,-2.542432946,1,1
Mixl1,-4.627717977,-2.905909584,0.021542363,0.350707603
Fgf3,0.02938471,-2.711991158,1,1
RP23-451H6.3,-4.469542478,-2.975625891,0.014926056,0.288146991
5730435O14Rik,-4.468676216,-2.975782832,0.012710029,0.263555574
Gm43065,-4.466951815,-2.976062644,0.017898731,0.315955554
Gm5308,2.676613609,-3.489228757,0.524464323,1
Gm20554,-4.465311343,-2.97615149,0.033378526,0.435135761
Gm21998,-4.294385878,-3.049067296,0.106349664,0.710071211
Gm6058,-4.287089083,-3.049541643,0.049074017,0.523020647
Dhrs2,-4.285226079,-3.04972066,0.031745718,0.422668945
Gm11205,-4.285226079,-3.04972066,0.031745718,0.422668945
Ptk6,-4.285056149,-3.049754949,0.022865646,0.362494405
Vmn2r83,-4.285056149,-3.049754949,0.022865646,0.362494405
Gm10355,-4.284484148,-3.049823524,0.031660102,0.422445082
Hmgb1-ps6,-4.282288827,-3.049933947,0.105761217,0.70946574
BC107364,-4.281676803,-3.050071083,0.048566305,0.520435877
Gm37280,4.940659838,-2.771639513,0.00541571,0.16058346
Gm16368,-4.084081229,-3.12707045,0.148944994,0.798025079
Cyp1a2,0,-3.712037592,1,1
Gm3005,2.681372158,-3.489177634,0.578658544,1
Padi1,-4.077794097,-3.127354465,0.063168796,0.589899458
Gm13854,-4.077794097,-3.127354465,0.063168796,0.589899458
1700104B16Rik,-4.07612,-3.127479184,0.048246971,0.519905993
RP24-282C4.11,-4.07610174,-3.127548277,0.075442915,0.6285755
Igkv1-110,-4.075070482,-3.12763844,0.039288408,0.468842815
Rnase10,0,-3.712037592,1,1
Rab5a-ps,-4.074056037,-3.127797682,0.047754538,0.517929181
Gm34391,3.854846491,-3.208833003,0.077763045,0.634225767
Epb42,-4.072213124,-3.127853293,0.09996423,0.694493706
Gm8688,4.108231106,-3.125811833,0.082253329,0.647653767
Gh,-11.34032831,2.646880802,9.33699E-59,2.54153E-54
Cd300c,-3.837612641,-3.209533287,0.199414587,0.880507438
Cyp2g1,2.643583089,-2.903059143,0.186618288,0.867755911
4930431P03Rik,-3.8335896,-3.209693754,0.138082319,0.784676834
Gm6450,0.026559245,-2.974551603,1,1
Gm5,0.279093122,-2.772513784,1,1
Gm12321,-3.830952956,-3.209854207,0.116013341,0.729786254
Gm29538,-0.143879093,-0.697535948,0.765017404,1
RP23-287L13.6,-3.83063758,-3.2098194,0.090980561,0.6697069
Gm13326,-2.40029987,-2.975436896,0.106593909,0.710700644
Gm13921,-3.830271345,-3.209910233,0.115897101,0.729752277
Dnajc22,-1.959987302,-2.773881335,0.117782017,0.7333089
Tmprss4,-1.648532343,-3.209465878,0.470249469,1
Gm45234,3.187824989,-3.389565575,0.39117133,1
Gm7238,-3.82902007,-3.210014647,0.115682462,0.72942246
Gm12656,-3.828573309,-3.210105471,0.077159584,0.632894571
Gm5778,3.186537619,-3.389464053,0.302905056,0.982492329
Gm37662,-3.828573309,-3.210105471,0.077159584,0.632894571
Gm13171,-3.828567754,-3.210070668,0.090533391,0.6697069
Gm12732,-0.662900993,-2.975549755,0.805780123,1
Hist1h2ak,-3.828003994,-3.210140273,0.090409661,0.6697069
RP23-245C15.3,-3.826740488,-3.210175074,0.137249579,0.784530351
Gm10418,4.087931257,-3.127396651,0.099000831,0.693556869
RP24-201N16.3,1.88706546,-3.596324883,1,1
RP24-170A20.6,-3.826740488,-3.210175074,0.137249579,0.784530351
Gm11945,3.181778269,-3.38980831,0.260351629,0.959876926
5930435M05Rik,-3.826427516,-3.21023109,0.115233869,0.729189442
Pax9,0,-3.712037592,1,1
M6pr-ps,3.843046924,-3.209800663,0.13614795,0.782175433
Gm38171,0,-3.712037592,1,1
RP23-143D12.4,-3.826015397,-3.21026589,0.115161979,0.729189442
4930562F07Rik,-3.826015397,-3.21026589,0.115161979,0.729189442
Sucnr1,-3.826015397,-3.21026589,0.115161979,0.729189442
Gm43813,0.028880679,-2.974772572,1,1
Gm13142,-3.824960825,-3.210300689,0.137031443,0.784530351
Ighg2b,-3.636634508,-2.391246929,0.001077636,0.056627888
Gm44725,-3.540215374,-3.296996841,0.273378351,0.970490908
Gm37184,-3.540215374,-3.296996841,0.273378351,0.970490908
Serpina1b,-3.540215374,-3.296996841,0.273378351,0.970490908
Tex28,-3.540215374,-3.296996841,0.273378351,0.970490908
4930433J02Rik,-3.540215374,-3.296996841,0.273378351,0.970490908
Gm13679,-3.540215374,-3.296996841,0.273378351,0.970490908
Gm11453,-3.540215374,-3.296996841,0.273378351,0.970490908
Ucn2,2.663059609,-3.489871104,0.576780615,1
Olfr565-ps1,-3.540215374,-3.296996841,0.273378351,0.970490908
Gm18889,-3.536048624,-3.297123432,0.196878539,0.878696181
Igkv3-12,-3.536048624,-3.297123432,0.196878539,0.878696181
Wfdc21,-3.536048624,-3.297123432,0.196878539,0.878696181
1700047I17Rik2,-3.535538556,-3.297158504,0.196793457,0.878696181
Fkbp6,-3.826015397,-3.21026589,0.115161979,0.729189442
Rpl30-ps9,3.848173324,-3.209511518,0.114690485,0.729189442
Cidec,-3.533849202,-3.297250014,0.176293014,0.848125813
Spink2,0,-3.712037592,1,1
Gm2990,-3.533849202,-3.297250014,0.176293014,0.848125813
Gm18642,-3.533018312,-3.297320153,0.176086367,0.847880931
Gm12291,1.879635139,-3.596674187,1,1
Gm13291,-3.532817269,-3.297285084,0.143538035,0.788786779
Gm16399,3.855947212,-3.208782955,0.091134904,0.669733283
Slc5a9,-3.532817269,-3.297285084,0.143538035,0.788786779
Gm11412,3.182530148,-3.389757556,0.30194374,0.982492329
Gm12741,-3.532362659,-3.297376587,0.196261141,0.878696181
Gm45753,-3.532362659,-3.297376587,0.196261141,0.878696181
Gm11492,-3.5321166,-3.297411655,0.143260073,0.788786779
Il19,0,-3.712037592,1,1
Gm17995,-3.5321166,-3.297411655,0.143260073,0.788786779
Gm12129,-3.5321166,-3.297411655,0.143260073,0.788786779
RP24-143P3.4,-3.5321166,-3.297411655,0.143260073,0.788786779
Gm12527,-3.531925787,-3.297446722,0.14318341,0.788786779
Tas2r108,-3.531925787,-3.297446722,0.14318341,0.788786779
Gm29418,0,-3.712037592,1,1
Trim31,-3.831792019,-3.209784592,0.116156101,0.729786254
Gm10447,-3.530849569,-3.297481788,0.196005469,0.878696181
Gm11199,-3.530044666,-3.297573282,0.175333295,0.847476313
Cxcr2,-3.530030908,-3.297538218,0.195866846,0.878696181
Gm26880,-3.530030908,-3.297538218,0.195866846,0.878696181
Gm15732,-3.530030908,-3.297538218,0.195866846,0.878696181
Gm12009,-3.530030908,-3.297538218,0.195866846,0.878696181
Gm7676,-3.529794786,-3.297503152,0.272376446,0.970490908
Gm16558,-3.828567754,-3.210070668,0.090533391,0.6697069
Gm43549,-3.529794786,-3.297503152,0.272376446,0.970490908
Klrb1,-3.529794786,-3.297503152,0.272376446,0.970490908
Hoxb6,-3.529794786,-3.297503152,0.272376446,0.970490908
4930509E16Rik,-3.529027967,-3.297608346,0.195696255,0.878696181
Gm43329,-3.529027967,-3.297608346,0.195696255,0.878696181
Myot,-3.529027967,-3.297608346,0.195696255,0.878696181
Gm10271,-3.529027967,-3.297608346,0.195696255,0.878696181
Gm44265,-3.529027967,-3.297608346,0.195696255,0.878696181
Gm13148,-3.526936817,-3.297643409,0.272099918,0.970490908
RP24-186E11.4,-3.526936817,-3.297643409,0.272099918,0.970490908
RP23-203H20.7,-3.526936817,-3.297643409,0.272099918,0.970490908
Rspo4,-3.447299189,-1.977835157,0.001886423,0.081771572
Gm11934,2.672776177,-3.489575515,0.523828802,1
Prl,-7.37724692,1.885929082,2.50384E-17,1.11273E-13
Gm13311,-3.257608358,-2.597810796,0.00810673,0.204406017
Usp9y,0,-3.712037592,1,1
Gm13135,-3.165300261,-3.390106998,0.391492854,1
Gm43491,-3.165300261,-3.390106998,0.391492854,1
I830127L07Rik,-3.165300261,-3.390106998,0.391492854,1
Gm11210,-3.165300261,-3.390106998,0.391492854,1
RP24-247A8.8,-3.165300261,-3.390106998,0.391492854,1
RP23-93J3.1,-3.165300261,-3.390106998,0.391492854,1
Scml1,-3.165300261,-3.390106998,0.391492854,1
Gm37392,-3.165300261,-3.390106998,0.391492854,1
Gm43555,-3.165300261,-3.390106998,0.391492854,1
Gm12609,-3.165300261,-3.390106998,0.391492854,1
Trbv13-2,-3.165300261,-3.390106998,0.391492854,1
Gm29509,-3.165300261,-3.390106998,0.391492854,1
Bnc1,-3.165300261,-3.390106998,0.391492854,1
Gm11421,-3.165300261,-3.390106998,0.391492854,1
Gm43271,2.681372158,-3.489177634,0.578658544,1
Iglc3,-3.165300261,-3.390106998,0.391492854,1
Gm11518,3.556988175,-3.296521113,0.143561393,0.788786779
Gm15801,-3.165300261,-3.390106998,0.391492854,1
Gm14568,-3.165300261,-3.390106998,0.391492854,1
Eif1-ps1,-3.160407829,-3.390234536,0.302315386,0.982492329
9430024E24Rik,-3.160407829,-3.390234536,0.302315386,0.982492329
Gm5449,-3.160407829,-3.390234536,0.302315386,0.982492329
Gm8000,-3.160407829,-3.390234536,0.302315386,0.982492329
RP24-300B21.1,3.855097587,-3.20888305,0.090954521,0.6697069
Gm16087,-3.160407829,-3.390234536,0.302315386,0.982492329
Ear1,-3.160407829,-3.390234536,0.302315386,0.982492329
Gm28466,-0.866102855,-3.127609962,0.749733709,1
Gm13664,-3.160407829,-3.390234536,0.302315386,0.982492329
Gm11227,-3.160407829,-3.390234536,0.302315386,0.982492329
RP23-459B19.1,-3.160407829,-3.390234536,0.302315386,0.982492329
Muc16,1.879635139,-3.596674187,1,1
Erich6b,-3.160407829,-3.390234536,0.302315386,0.982492329
Gm7855,-3.159934342,-3.390269874,0.3022008,0.982492329
Gm6291,-3.159934342,-3.390269874,0.3022008,0.982492329
Ucn3,-3.159934342,-3.390269874,0.3022008,0.982492329
Gm13168,-3.159934342,-3.390269874,0.3022008,0.982492329
Gm19583,-3.159934342,-3.390269874,0.3022008,0.982492329
A930104D05Rik,3.166414457,-3.390445896,0.388806247,1
Gm16550,-3.159934342,-3.390269874,0.3022008,0.982492329
Gm4322,0.028056509,-3.126759911,1,1
4930539M17Rik,0.02809807,-2.711761707,1,1
Gm45319,-3.159934342,-3.390269874,0.3022008,0.982492329
AY512931,-3.159934342,-3.390269874,0.3022008,0.982492329
Tubb1,-3.158700481,-3.390362065,0.301900352,0.982492329
Gm11479,2.681372158,-3.489177634,0.578658544,1
Gm13123,-3.158700481,-3.390362065,0.301900352,0.982492329
Asb12,-3.158700481,-3.390362065,0.301900352,0.982492329
Hist1h3g,-3.158700481,-3.390362065,0.301900352,0.982492329
Gm5931,-3.158700481,-3.390362065,0.301900352,0.982492329
Gm44042,-3.158700481,-3.390362065,0.301900352,0.982492329
Gm44853,-3.158700481,-3.390362065,0.301900352,0.982492329
Serpinb5,0.5705238,-2.836337734,0.829957826,1
Tepp,-3.158700481,-3.390362065,0.301900352,0.982492329
Gm45897,-3.158700481,-3.390362065,0.301900352,0.982492329
Gm19166,-3.158700481,-3.390362065,0.301900352,0.982492329
Fshb,-3.158700481,-3.390362065,0.301900352,0.982492329
Gm14234,-3.158700481,-3.390362065,0.301900352,0.982492329
Tcte3,0.572075205,-2.836492569,0.811819688,1
Olfr39,-3.158700481,-3.390362065,0.301900352,0.982492329
Olfr981,-3.158700481,-3.390362065,0.301900352,0.982492329
Rab25,0.726186069,-2.489748422,0.513538681,1
Hist1h2aj,-3.158700481,-3.390362065,0.301900352,0.982492329
Gm6028,-3.158219073,-3.390397401,0.260276639,0.959876926
RP23-365J20.3,-3.158219073,-3.390397401,0.260276639,0.959876926
Rgs18,-3.158219073,-3.390397401,0.260276639,0.959876926
Gm26624,-3.158219073,-3.390397401,0.260276639,0.959876926
Tuba3b,-3.158219073,-3.390397401,0.260276639,0.959876926
Gm11754,-3.158219073,-3.390397401,0.260276639,0.959876926
Gm18407,3.182530148,-3.389757556,0.30194374,0.982492329
Elane,-3.158219073,-3.390397401,0.260276639,0.959876926
Bpifb9a,0.527669799,-3.209848951,1,1
Rpl15-ps1,-3.158219073,-3.390397401,0.260276639,0.959876926
RP23-430F12.1,-3.158219073,-3.390397401,0.260276639,0.959876926
Gm4157,-3.157766064,-3.390432736,0.30167031,0.982492329
Osr2,-3.157766064,-3.390432736,0.30167031,0.982492329
Zfp990,-3.157766064,-3.390432736,0.30167031,0.982492329
Gm13271,-3.157766064,-3.390432736,0.30167031,0.982492329
Krt33b,-3.157766064,-3.390432736,0.30167031,0.982492329
Gm3898,0,-3.712037592,1,1
Gm5638,-3.157766064,-3.390432736,0.30167031,0.982492329
Gm14832,-3.157766064,-3.390432736,0.30167031,0.982492329
Tbx3os2,-3.156550832,-3.390524919,0.301368547,0.982492329
Gm37339,-3.156550832,-3.390524919,0.301368547,0.982492329
Akp3,-3.156550832,-3.390524919,0.301368547,0.982492329
Wfdc12,-3.156550832,-3.390524919,0.301368547,0.982492329
Gm6792,-3.156550832,-3.390524919,0.301368547,0.982492329
Gm28155,-3.156550832,-3.390524919,0.301368547,0.982492329
Gm26865,-3.156550832,-3.390524919,0.301368547,0.982492329
Gm37406,-3.156550832,-3.390524919,0.301368547,0.982492329
Gm13626,-3.156550832,-3.390524919,0.301368547,0.982492329
Gm18716,-3.156550832,-3.390524919,0.301368547,0.982492329
Serpinb1-ps1,-3.156550832,-3.390524919,0.301368547,0.982492329
Pcna-ps1,-3.156550832,-3.390524919,0.301368547,0.982492329
Gm19777,-3.156089984,-3.390560251,0.301253054,0.982492329
Gm11448,-3.156089984,-3.390560251,0.301253054,0.982492329
Gm34086,-3.156089984,-3.390560251,0.301253054,0.982492329
Dcpp3,-3.156089984,-3.390560251,0.301253054,0.982492329
Flg,-3.156089984,-3.390560251,0.301253054,0.982492329
Gm4956,-3.156089984,-3.390560251,0.301253054,0.982492329
Fbp2,-3.156089984,-3.390560251,0.301253054,0.982492329
Gm13485,-3.156089984,-3.390560251,0.301253054,0.982492329
Cga,-6.12503433,-2.050800747,0.000125755,0.013216383
Gm13670,-3.156089984,-3.390560251,0.301253054,0.982492329
Gm45777,-3.156089984,-3.390560251,0.301253054,0.982492329
Gm14581,-3.156089984,-3.390560251,0.301253054,0.982492329
Zfp-ps,-3.156089984,-3.390560251,0.301253054,0.982492329
Gm7281,-3.156089984,-3.390560251,0.301253054,0.982492329
Pkp1,-1.284831151,-2.773693086,0.278268122,0.974529227
Fau-ps1,-3.156089984,-3.390560251,0.301253054,0.982492329
Pinlyp,-3.156089984,-3.390560251,0.301253054,0.982492329
4930448A20Rik,-3.156089984,-3.390560251,0.301253054,0.982492329
RP24-75H6.4,-1.156470884,-3.048840457,0.581294486,1
Gm3141,-3.156089984,-3.390560251,0.301253054,0.982492329
Gm19301,-3.156089984,-3.390560251,0.301253054,0.982492329
Gm45030,-3.156089984,-3.390560251,0.301253054,0.982492329
RP23-65J2.2,-3.156006144,-3.390489585,0.390475017,1
Gm12045,-3.156006144,-3.390489585,0.390475017,1
0610006L08Rik,-3.156006144,-3.390489585,0.390475017,1
Zfa-ps,-3.156006144,-3.390489585,0.390475017,1
Gm17117,-3.156006144,-3.390489585,0.390475017,1
Gm5524,-3.156006144,-3.390489585,0.390475017,1
4930532M18Rik,-3.156006144,-3.390489585,0.390475017,1
Gm44944,-3.156006144,-3.390489585,0.390475017,1
RP23-282P18.4,-3.156006144,-3.390489585,0.390475017,1
Gm3285,-3.156006144,-3.390489585,0.390475017,1
Krt33a,-3.156006144,-3.390489585,0.390475017,1
Ighv2-3,-3.156006144,-3.390489585,0.390475017,1
Vmn1r-ps109,-3.156006144,-3.390489585,0.390475017,1
Gm8297,-3.156006144,-3.390489585,0.390475017,1
Gm5622,-3.156006144,-3.390489585,0.390475017,1
Gm14519,0,-3.712037592,1,1
Olfr523,-0.484547487,-3.209737654,1,1
Gm6630,-3.156006144,-3.390489585,0.390475017,1
Gm9573,-3.156006144,-3.390489585,0.390475017,1
Gm4262,-3.153459196,-3.390595583,0.390194151,1
Gm13677,-3.153459196,-3.390595583,0.390194151,1
Gm13063,-3.153459196,-3.390595583,0.390194151,1
Ppp1r3a,-3.153459196,-3.390595583,0.390194151,1
Gm11591,-3.153459196,-3.390595583,0.390194151,1
Gm28929,1.88706546,-3.596324883,1,1
Gm12862,-3.153459196,-3.390595583,0.390194151,1
Gm32308,-3.153459196,-3.390595583,0.390194151,1
RP23-346B18.3,0.027451933,-3.126809597,1,1
Gm12444,-3.147134996,-2.654047751,0.007119981,0.189620097
Tcf21,-0.404493195,-1.597740301,0.539439117,1
Gm6361,0.330412107,-2.904172966,1,1
Skor2,4.918184823,-2.774325933,0.02068478,0.342065437
Sh2d2a,1.655620757,-2.904163032,0.25296017,0.955637607
Ranbp2-ps1,1.879635139,-3.596674187,1,1
Fam124b,-2.896489836,-2.77362112,0.06005254,0.578716751
Gm45576,-2.8939763,-2.774732735,0.044861915,0.500467762
Gm26905,1.88706546,-3.596324883,1,1
Gm45423,-2.847774634,-2.344077708,0.00524077,0.156762386
RP23-337J18.2,2.281619325,-0.097966781,1.48855E-05,0.002501127
Mmp3,-1.877220428,-2.298737118,0.070664576,0.616503127
Gm13162,0,-3.712037592,1,1
Gm18212,-2.746997344,-2.837980938,0.048477638,0.520435877
Gm26602,1.885956193,-3.59637637,1,1
Gltpd2,-2.744181718,-2.838526892,0.051230113,0.537012608
Gm11653,-2.744102025,-2.8384115,0.051305541,0.537543042
Gm8319,-2.74343309,-2.838560435,0.060667755,0.580652706
RP23-356G7.4,-2.657030408,-3.489643463,0.578469848,1
Gm38098,-2.657030408,-3.489643463,0.578469848,1
Gm26753,-2.657030408,-3.489643463,0.578469848,1
Gm5315,-2.657030408,-3.489643463,0.578469848,1
Gm13378,-2.657030408,-3.489643463,0.578469848,1
Hemgn,-2.657030408,-3.489643463,0.578469848,1
Gm45903,-2.657030408,-3.489643463,0.578469848,1
RP24-226H19.2,-2.657030408,-3.489643463,0.578469848,1
Ska1,-2.657030408,-3.489643463,0.578469848,1
4933406M09Rik,-2.657030408,-3.489643463,0.578469848,1
1700057H15Rik,-2.657030408,-3.489643463,0.578469848,1
Aqp2,-2.657030408,-3.489643463,0.578469848,1
Gm14538,-2.657030408,-3.489643463,0.578469848,1
Gm15157,-2.657030408,-3.489643463,0.578469848,1
Gm37587,-2.657030408,-3.489643463,0.578469848,1
Gm7351,-2.657030408,-3.489643463,0.578469848,1
Slc22a13,-2.657030408,-3.489643463,0.578469848,1
Gm45521,-2.657030408,-3.489643463,0.578469848,1
Gm42666,3.860542506,-3.208493655,0.116808564,0.731066631
Gm5312,-2.657030408,-3.489643463,0.578469848,1
RP24-572P24.2,-3.829211399,-3.209979843,0.077385143,0.63316827
Gm8838,-2.657030408,-3.489643463,0.578469848,1
2810408I11Rik,-2.657030408,-3.489643463,0.578469848,1
Gm4854,-2.657030408,-3.489643463,0.578469848,1
Gm2710,-2.657030408,-3.489643463,0.578469848,1
Gm14300,-2.657030408,-3.489643463,0.578469848,1
Gm37007,-2.657030408,-3.489643463,0.578469848,1
Olfr1402,-2.657030408,-3.489643463,0.578469848,1
Adam30,-2.657030408,-3.489643463,0.578469848,1
Gm15602,-2.657030408,-3.489643463,0.578469848,1
2310002L09Rik,-2.657030408,-3.489643463,0.578469848,1
Gm13849,-2.657030408,-3.489643463,0.578469848,1
Gm15490,-2.657030408,-3.489643463,0.578469848,1
Igkv1-135,-2.657030408,-3.489643463,0.578469848,1
Igkv3-9,-2.657030408,-3.489643463,0.578469848,1
Ctsg,-3.826740488,-3.210175074,0.137249579,0.784530351
Clec2e,-2.657030408,-3.489643463,0.578469848,1
A330087D11Rik,-2.657030408,-3.489643463,0.578469848,1
Gm10153,-2.657030408,-3.489643463,0.578469848,1
Gm45796,-2.657030408,-3.489643463,0.578469848,1
Gm42695,0,-3.712037592,1,1
4933402J07Rik,-2.657030408,-3.489643463,0.578469848,1
Gm45805,-2.657030408,-3.489643463,0.578469848,1
Gm16284,-0.53794195,-2.542690306,0.707748266,1
Gm12162,-2.657030408,-3.489643463,0.578469848,1
1110028F11Rik,-2.657030408,-3.489643463,0.578469848,1
6030469F06Rik,-2.657030408,-3.489643463,0.578469848,1
Ighv1-26,-2.657030408,-3.489643463,0.578469848,1
Vmn1r223,-2.657030408,-3.489643463,0.578469848,1
Gm5405,-2.657030408,-3.489643463,0.578469848,1
Gm5483,-2.657030408,-3.489643463,0.578469848,1
Nox3,-2.657030408,-3.489643463,0.578469848,1
Olfr109,-2.657030408,-3.489643463,0.578469848,1
Fscb,0,-3.712037592,1,1
Gm14761,-2.657030408,-3.489643463,0.578469848,1
H2afb3,-2.657030408,-3.489643463,0.578469848,1
Gm15172,-2.657030408,-3.489643463,0.578469848,1
Gm15176,-2.657030408,-3.489643463,0.578469848,1
Gm9159,3.181159172,-3.389859062,0.301607782,0.982492329
Gm45599,-2.652608326,-3.489771962,0.524183785,1
Mip,-2.652608326,-3.489771962,0.524183785,1
RP24-435P22.3,0,-3.712037592,1,1
Gm14036,3.556988175,-3.296521113,0.143561393,0.788786779
Gm21182,-2.652608326,-3.489771962,0.524183785,1
Anapc15-ps,-2.652608326,-3.489771962,0.524183785,1
Gm10357,-2.652608326,-3.489771962,0.524183785,1
Gm11511,-2.652608326,-3.489771962,0.524183785,1
Gm19104,-2.652608326,-3.489771962,0.524183785,1
Gm11898,-2.652608326,-3.489771962,0.524183785,1
Gm6062,3.182530148,-3.389757556,0.30194374,0.982492329
Reg3d,-2.652608326,-3.489771962,0.524183785,1
Bpifa6,3.177297852,-3.390152502,0.300635955,0.982492329
Gm12349,-2.652608326,-3.489771962,0.524183785,1
Ccdc7a,-2.652608326,-3.489771962,0.524183785,1
RP24-147J7.4,3.182530148,-3.389757556,0.30194374,0.982492329
Gpr31b,-2.652608326,-3.489771962,0.524183785,1
AU018091,-2.652608326,-3.489771962,0.524183785,1
Gm9353,3.557039534,-3.296571509,0.196278382,0.878696181
Gm12583,1.885956193,-3.59637637,1,1
Ces2b,-2.652608326,-3.489771962,0.524183785,1
4921528I07Rik,-2.652608326,-3.489771962,0.524183785,1
Olig3,-2.652608326,-3.489771962,0.524183785,1
Gm12180,-2.652608326,-3.489771962,0.524183785,1
4930438A08Rik,-2.652608326,-3.489771962,0.524183785,1
RP23-212M22.4,-2.652608326,-3.489771962,0.524183785,1
Gm6576,-2.652608326,-3.489771962,0.524183785,1
Olfr167,-2.652608326,-3.489771962,0.524183785,1
Gm12463,-2.652219952,-3.489807571,0.524119417,1
Gdpd4,3.539254022,-3.29744534,0.270728045,0.970490908
Gm8302,-2.652219952,-3.489807571,0.524119417,1
Gm16548,-2.652219952,-3.489807571,0.524119417,1
RP24-93K4.2,-2.652219952,-3.489807571,0.524119417,1
Gm26612,1.879635139,-3.596674187,1,1
Gm42903,-2.652219952,-3.489807571,0.524119417,1
Gm42649,-2.652219952,-3.489807571,0.524119417,1
Gm13981,3.186537619,-3.389464053,0.302905056,0.982492329
Fgf8,-2.652219952,-3.489807571,0.524119417,1
Gm21093,-2.652219952,-3.489807571,0.524119417,1
1700010H22Rik,-2.652219952,-3.489807571,0.524119417,1
Gm42654,-2.652219952,-3.489807571,0.524119417,1
Olfm5,-1.291330522,-2.773503533,0.369906369,1
Gm17198,-2.652219952,-3.489807571,0.524119417,1
Tnfsf18,-2.652219952,-3.489807571,0.524119417,1
Pitx2,-0.862284103,-3.127079428,0.739843706,1
Gm11380,-2.652219952,-3.489807571,0.524119417,1
4732490B19Rik,1.879635139,-3.596674187,1,1
Kif12,-0.647390382,-2.975214743,0.74378592,1
Gm11790,-0.181458988,-2.652477195,1,1
Gm13604,-2.652219952,-3.489807571,0.524119417,1
Gm14038,3.182530148,-3.389757556,0.30194374,0.982492329
Gm42791,4.306869984,-3.048881412,0.03131658,0.421084664
Igkv1-117,-2.652219952,-3.489807571,0.524119417,1
Traj28,0,-3.712037592,1,1
Gm5479,1.879635139,-3.596674187,1,1
Tescl,-2.652219952,-3.489807571,0.524119417,1
Gm6689,2.676613609,-3.489228757,0.524464323,1
Olfr686,-2.652219952,-3.489807571,0.524119417,1
RP23-405E15.2,-2.652219952,-3.489807571,0.524119417,1
RP24-251K18.1,-2.652219952,-3.489807571,0.524119417,1
RP23-212C9.3,-2.652219952,-3.489807571,0.524119417,1
Gm16202,-2.652219952,-3.489807571,0.524119417,1
Ccr3,-2.652219952,-3.489807571,0.524119417,1
Gm34342,3.185831818,-3.389514815,0.302738398,0.982492329
Gm15809,-2.652219952,-3.489807571,0.524119417,1
Gm498,3.549350768,-3.297103728,0.194970016,0.878696181
Kcna7,0,-3.712037592,1,1
BC048679,-2.65083165,-3.489936059,0.523888208,1
Gm29462,-2.65083165,-3.489936059,0.523888208,1
RP23-310N21.2,-2.65083165,-3.489936059,0.523888208,1
Gm21190,-2.65083165,-3.489936059,0.523888208,1
Ccdc178,2.672776177,-3.489575515,0.523828802,1
Atp6v1g3,-2.65083165,-3.489936059,0.523888208,1
Myog,3.556988175,-3.296521113,0.143561393,0.788786779
Gm9081,-2.65083165,-3.489936059,0.523888208,1
Gm38247,4.108231106,-3.125811833,0.082253329,0.647653767
Klk1b26,0,-3.712037592,1,1
Gm10845,0,-3.712037592,1,1
Olfr464,2.681372158,-3.489177634,0.578658544,1
Olfr859,-2.65083165,-3.489936059,0.523888208,1
RP24-435P22.4,2.672776177,-3.489575515,0.523828802,1
4930442H23Rik,-2.65083165,-3.489936059,0.523888208,1
RP24-151D4.1,-2.65083165,-3.489936059,0.523888208,1
Gsdmcl-ps,-2.65083165,-3.489936059,0.523888208,1
Lgsn,-2.65083165,-3.489936059,0.523888208,1
Gm10025,1.88706546,-3.596324883,1,1
Serpina3i,4.811536623,-2.835602129,0.015045607,0.289633249
Gm13030,-2.65083165,-3.489936059,0.523888208,1
Slc22a1,3.071725715,-2.711134041,0.023495997,0.367775183
Speer9-ps1,-2.65083165,-3.489936059,0.523888208,1
Sox14,1.326728534,-3.296434777,0.719787928,1
Prss44,-2.65083165,-3.489936059,0.523888208,1
Gm19125,0,-3.712037592,1,1
Hist1h1a,-2.65083165,-3.489936059,0.523888208,1
Evx2,0,-3.712037592,1,1
Slc6a2,-2.650272415,-3.489900453,0.577779906,1
Gm11414,-2.650272415,-3.489900453,0.577779906,1
Krt7,-2.650272415,-3.489900453,0.577779906,1
Tmem92,-2.650272415,-3.489900453,0.577779906,1
Gm10045,-2.650272415,-3.489900453,0.577779906,1
Gm20443,-2.650272415,-3.489900453,0.577779906,1
Gm12422,-2.650272415,-3.489900453,0.577779906,1
Gm43723,0,-3.712037592,1,1
Igf2bp1,-2.650272415,-3.489900453,0.577779906,1
Skint5,-2.650272415,-3.489900453,0.577779906,1
Hist1h4m,-2.650272415,-3.489900453,0.577779906,1
Gm28453,-2.650272415,-3.489900453,0.577779906,1
4930563I02Rik,-2.650272415,-3.489900453,0.577779906,1
Cyp4f39,-2.650272415,-3.489900453,0.577779906,1
1700022E09Rik,-2.650272415,-3.489900453,0.577779906,1
Gm8197,-2.650272415,-3.489900453,0.577779906,1
