gene,logFC,logCPM,P.Value,adj.P.Val
Hypk,0.256109044,2.102433227,0.204109995,0.889794051
Nsun3,0.256113616,3.213264067,0.103599987,0.705024425
Cdkl3,0.256245645,3.645859504,0.068076653,0.60590301
Hscb,0.256393448,2.079526087,0.220532298,0.917832106
Coq7,0.256399062,3.965116069,0.057210635,0.566321293
Fam221a,0.256421579,0.13749192,0.456048401,1
Mcee,0.256463226,3.666065562,0.090861433,0.6697069
Acacb,0.256517391,3.577226981,0.111341502,0.724358434
Gm16044,0.256708205,-0.490205095,0.588788567,1
Sebox,0.256723012,2.539683975,0.15017265,0.799792661
Asphd1,0.256751023,3.871280277,0.099039513,0.693556869
Kcnk2,0.257055516,5.526181349,0.014134749,0.279410217
Gm12695,0.257119398,-2.127298034,0.864874604,1
Spsb1,0.257165659,4.698801294,0.0652467,0.597820252
Ccl2,0.257346229,-1.683190843,0.836236435,1
Ggnbp1,0.257564054,1.296024426,0.298038439,0.982492329
Usp3,0.257579113,4.599555096,0.034698279,0.445302762
Gjc1,0.25759143,1.67335228,0.242054077,0.944579822
Hint2,0.257608363,3.662960313,0.082709902,0.647999453
Gjb2,-0.510970841,3.664169804,0.012600805,0.262428398
A730060N03Rik,0.257688367,0.676813241,0.41458369,1
3000002C10Rik,0.257690627,2.188423396,0.209051574,0.898386882
Ptrh2,0.257778662,4.29650429,0.038786128,0.466736697
Gm7061,0.258161606,0.505975124,0.447302018,1
Txn1,0.258200573,5.2307693,0.024074491,0.371305134
Zfp930,0.258312551,2.962750526,0.113604958,0.729189442
Lbr,0.258337169,3.447936524,0.077200853,0.632894571
Lsm4,0.258511472,4.363748414,0.044118245,0.497655684
Gnrhr,1.885956193,-3.59637637,1,1
Hspb3,0.258634284,-0.869457399,0.663765599,1
Zfp941,0.258635124,4.110097625,0.070096312,0.61390657
Gcnt7,0.258723109,-1.682091834,0.79712564,1
Setdb2,0.258731345,2.393050204,0.185034902,0.864771558
Plvap,0.258926436,3.837387389,0.06910691,0.610347209
Dyrk3,0.258985919,3.837799839,0.085108339,0.657452714
Zfp473,0.259198288,-0.870217095,0.653498315,1
Kncn,0.259203659,-2.127344075,0.885666768,1
Agpat2,0.259249369,1.336843641,0.337892623,1
Syde2,0.259254248,2.243557333,0.255896786,0.958125612
Gm12940,0.259318509,4.205088192,0.056072499,0.561690409
Gm15634,0.259516851,-2.126837139,0.862165787,1
Rpl19-ps11,0.259548786,2.335642051,0.180707582,0.855389304
Myom2,0.259551387,-2.12726757,0.859457172,1
Klf9,0.259738389,7.542175028,0.008945758,0.217219925
Tnik,0.25975042,7.723761993,0.007731775,0.198921465
Gm6159,0.259763187,-2.12684227,0.858226335,1
Wdr73,0.259823873,4.556878052,0.037371275,0.459876173
Limd2,0.259832343,6.42861857,0.006238971,0.176349735
Zfp783,0.259890522,3.091100125,0.098848156,0.693108403
Tmem141,0.259924115,3.477761619,0.141701941,0.788786779
Sem1,0.260025233,4.319607876,0.062690911,0.589899458
Zfas1,0.260059378,4.340916232,0.034360956,0.442643263
Kank3,0.260082406,3.811196187,0.064615929,0.595679993
Zcchc9,0.260132383,2.781355319,0.12705604,0.759601454
Ksr1,0.260224176,7.558375683,0.036593467,0.456748534
Mzt2,0.260472467,3.696782506,0.086653011,0.661625518
RP23-118L13.5,0.024603167,-2.126791939,1,1
Pigp,0.260717453,4.186135959,0.047021587,0.514027151
Loxhd1,0.260722073,-1.681918013,0.807927628,1
Eci2,0.260791216,4.482670598,0.033114497,0.432552869
Tmem171,0.260905191,-0.352883952,0.542759334,1
Gm10051,0.261029729,-0.353385822,0.48237458,1
Vrk1,0.261173712,3.617947603,0.098239895,0.691873209
Gm43251,0.261335237,-2.127623519,0.879870182,1
Mospd1,0.261456549,3.579520854,0.091254169,0.670428741
S100a6,0.261557394,3.161060034,0.126875527,0.759354131
Sidt1,0.261557503,5.987539988,0.012582654,0.262251023
Lyst,0.261573661,6.550139648,0.018950659,0.324832767
5031415H12Rik,0.261753895,-1.105508477,0.694760611,1
2010308F09Rik,0.261874515,-2.126942078,0.873989582,1
Mid1,0.261903724,2.913222553,0.165998889,0.83423276
Zfp59,0.26197684,2.024040211,0.20186973,0.885977822
Gm5835,0.262078284,0.227300096,0.481126416,1
Commd3,0.262144917,5.691259675,0.009432229,0.22202352
Acy1,0.262277977,2.95261146,0.138990737,0.78557472
Ccna1,0.26234913,0.025444291,0.493270584,1
RP24-219P17.5,0.262359976,-2.125599684,0.877271217,1
Slc1a5,0.26243296,2.057477405,0.23904027,0.942389672
6330420H09Rik,0.262597498,1.127160009,0.339305638,1
4732414G09Rik,0.262638419,-0.697748876,0.656893246,1
Lars,0.262641367,4.918529787,0.016658296,0.304153783
mt-Cytb,0.262688978,13.6750277,0.003374331,0.121173196
Lrrc39,0.262783545,0.121197064,0.433121899,1
Ccdc107,0.262884829,4.013610396,0.069344894,0.610861143
Gm43512,0.262962574,-2.126806669,0.87561431,1
D930016D06Rik,0.26305669,3.829267893,0.053548085,0.549235132
Trmt13,0.263089687,2.556962288,0.14794652,0.798025079
Rogdi,0.263196036,7.212486891,0.00298505,0.111764877
Tac4,-3.531925787,-3.297446722,0.14318341,0.788786779
Fam76b,0.263929666,4.210935166,0.036521811,0.456438801
Acot4,0.264148589,0.629184248,0.384102889,1
Tfdp2,0.264170376,5.693125292,0.010164548,0.231918692
Ccdc28a,0.264244605,4.358090764,0.029003085,0.406521102
Gm14412,0.264400442,1.169801323,0.403104818,1
Zfp788,0.264455851,5.026236409,0.017702789,0.313513291
Orc1,0.264531777,0.210676841,0.440846477,1
Mlx,0.264641423,4.121198516,0.039797559,0.470369653
Rreb1,0.265000126,6.381506169,0.028000463,0.400334091
Trafd1,0.265020895,5.688364369,0.006720122,0.18476942
RP24-532P18.1,0.265073933,-0.115640042,0.447958813,1
Rbm4,0.265151196,1.552655896,0.249872407,0.953432911
