,x,y,PAM50,Cohort,Class,color
BRCA-A5QN-01A,-6.62277880548549,-3.20088104949213,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0DZ-01A,3.38978295884503,-4.76416274432179,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1XS-01A,-3.12978189217687,3.50864365498812,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1JA-01A,1.40812932726318,0.314413229672741,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1XY-01A,-11.5814216760074,-2.10542845020533,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1J3-01A,-5.80549566094574,6.24325212907775,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0T1-01A,8.46620232362955,-12.3806243090575,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1J9-01A,-0.89421702616037,0.543705368763528,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A4SF-01A,6.10645602499751,12.3096880540247,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1X5-01A,-3.41480993597992,3.74115320025514,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A3W6-01A,-6.67837380763328,-12.0419677518484,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A08G-01A,1.93250926669504,9.21142260681163,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0AW-01A,10.25403125313,-9.7849814796893,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1XJ-01A,7.71883045560218,5.59942975015847,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0YG-01A,5.29266156544127,11.07435507879,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A2KD-01A,1.33652238134642,-2.24596893507074,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A152-01A,-1.37422785583289,-2.11153756884368,Her2,TCGA,Her2_TCGA,#B2DF8A
