variable	auc	cutoff	logistic.pvalue	logistic.or
V1	0.543	380	0.047	0.503 (0.255-0.991)
V2	0.505	28	0.270	0.720 (0.402-1.291)
V3	0.526	40	0.283	1.371 (0.770-2.441)
V4	0.5	0.51	0.272	1.394 (0.771-2.520)
V5	0.626	0.13	0.001	2.711 (1.468-5.006)
V6	0.58	0.02	0.069	1.903 (0.950-3.810)
V7	0.607	11.66666667	0.001	0.356 (0.191-0.666)
V8	0.572	7.73	0.067	0.580 (0.324-1.038)
V9	0.544	104	0.107	0.591 (0.311-1.121)
