num.gene,km.pvalue,core.gene
1 gene,0.0111728658684831,RP11-483E7.1
1 gene,0.428224935657197,FAM228B
1 gene,0.516995423705324,RP11-203J24.8
1 gene,0.605835020013433,MYB-AS1
1 gene,0.0626977811885699,DSG1
1 gene,0.950791788258349,RP4-773N10.5
1 gene,0.6959015301677,FAM3B
1 gene,0.623543201061854,CTB-32O4.2
1 gene,0.35404779832698,RP11-358B23.1
1 gene,0.437039864228039,TNK1
2 genes,0.209240084377479,RP11-483E7.1 | FAM228B
2 genes,0.230245659677537,RP11-483E7.1 | RP11-203J24.8
2 genes,0.333091345839429,RP11-483E7.1 | MYB-AS1
2 genes,0.0479883851917714,RP11-483E7.1 | DSG1
2 genes,0.057296759825413,RP11-483E7.1 | RP4-773N10.5
2 genes,0.205883973571791,RP11-483E7.1 | FAM3B
2 genes,0.034255515743878,RP11-483E7.1 | CTB-32O4.2
2 genes,0.0491848478706939,RP11-483E7.1 | RP11-358B23.1
2 genes,0.113069122208724,RP11-483E7.1 | TNK1
2 genes,0.134983411572813,FAM228B | RP11-203J24.8
2 genes,0.0290614177616439,FAM228B | MYB-AS1
2 genes,0.0958774888779955,FAM228B | DSG1
2 genes,0.00514494475123106,FAM228B | RP4-773N10.5
2 genes,0.0194491660726124,FAM228B | FAM3B
2 genes,0.303096370600978,FAM228B | CTB-32O4.2
2 genes,0.0422274497511037,FAM228B | RP11-358B23.1
2 genes,0.767922597115007,FAM228B | TNK1
2 genes,0.363195967616332,RP11-203J24.8 | MYB-AS1
2 genes,0.989155236746553,RP11-203J24.8 | DSG1
2 genes,0.151524687839476,RP11-203J24.8 | RP4-773N10.5
2 genes,0.177232667282136,RP11-203J24.8 | FAM3B
2 genes,0.244539732952426,RP11-203J24.8 | CTB-32O4.2
2 genes,0.272483237026058,RP11-203J24.8 | RP11-358B23.1
2 genes,0.136747389987773,RP11-203J24.8 | TNK1
2 genes,0.00554580538104466,MYB-AS1 | DSG1
2 genes,0.398167252894531,MYB-AS1 | RP4-773N10.5
2 genes,0.247450782124127,MYB-AS1 | FAM3B
2 genes,0.145021137346008,MYB-AS1 | CTB-32O4.2
2 genes,0.0797635387873271,MYB-AS1 | RP11-358B23.1
2 genes,0.0697654006628985,MYB-AS1 | TNK1
2 genes,0.463157132433827,DSG1 | RP4-773N10.5
2 genes,0.0307444262657068,DSG1 | FAM3B
2 genes,0.00454981467883364,DSG1 | CTB-32O4.2
2 genes,0.25660850699456,DSG1 | RP11-358B23.1
2 genes,0.119532003692741,DSG1 | TNK1
2 genes,0.17954538900368,RP4-773N10.5 | FAM3B
2 genes,0.0420229848164406,RP4-773N10.5 | CTB-32O4.2
