id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NFYA,1062.53471083309,0.257562880540682,0.192412634752395,1.33859650574468,0.180702064288792,0.321414152211048
MYH16,17.3307334089407,3.05394190413177,0.749867839042178,4.07264019754819,4.64832030331488e-05,0.000336947620072825
LAP3,4567.80265314114,-1.4586630802492,0.210872266154004,-6.91728270793044,4.60388765377843e-12,1.43074662471268e-10
MAD1L1,16.0917944142736,-0.310061232761763,0.496477047644651,-0.62452279361701,0.532284305814562,0.672175089874715
KLHL13,146.03946811957,-0.938294800598024,0.474063778352238,-1.97925857963536,0.0477869005069549,0.119862838192114
CYP26B1,350.775366233925,2.6181405042711,0.72147552351259,3.62886947505075,0.000284665115763801,0.00168217513557156
ARHGAP33,429.576750939856,1.17999940886609,0.254871552519362,4.62978075505876,3.66053103072295e-06,3.47693072824155e-05
ABCB5,6.74073447456422,3.4120584458063,0.969571801181878,3.51913952287712,0.000432948953640551,0.00244859604205482
POLR2J,1504.87369949479,-0.472176271008595,0.218006621526785,-2.16588041088734,0.0303203265875126,0.0848101449897652
MAP3K9,377.32962488112,1.2675658221509,0.324359930765778,3.9078989169788,9.31022404826886e-05,0.000626540341282724
PHTF2,756.983994283434,0.633890419310037,0.218623117433941,2.89946656488225,0.00373798209471719,0.0154516858758432
TRAPPC6A,1370.86638860473,-0.170104043945776,0.271940282507819,-0.625519847141019,0.531629926450776,0.671812606462663
SCN4A,33.1639453801481,-0.60322069873271,0.461072886230865,-1.30829792153657,0.190772279846701,0.334562296591234
RHBDF1,2187.28068966931,2.17827652148754,0.262531265977546,8.29720800445096,1.06586664903439e-16,6.69342165093102e-15
NADK,2527.42450022255,-1.57474319690275,0.203671389512173,-7.73178403051369,1.06049749854733e-14,4.9435498778437e-13
ADAM22,160.571010626997,2.32912022034864,0.46791364175975,4.97767111809176,6.43538812337039e-07,7.30992540349101e-06
PLEKHG6,802.272512003999,1.38118328408624,0.399006405227757,3.46155667174777,0.00053706103395925,0.00296951630090607
TENM1,313.174135153112,-4.97111808093717,0.635285579148589,-7.82501326033478,5.07603407974265e-15,2.54221210935871e-13
DYRK4,499.403183893284,0.107859892658164,0.256907904994793,0.419838745951978,0.67460325785429,0.784437444612299
STAB1,2821.0229500749,-1.74060226098732,0.294831563736355,-5.90371749526726,3.5540054710697e-09,6.57626661211676e-08
HFE,909.003685185467,-0.609144177863137,0.22957252214769,-2.65338452600724,0.00796890316878392,0.0287193298857155
SCMH1,1251.31595407485,0.953576181368682,0.22705181495115,4.19981748031323,2.67130228214336e-05,0.000204912554807452
FYN,1307.11259219542,-1.15647042079806,0.39179450183877,-2.95172702876255,0.00316002149803161,0.0134303246382401
ELOA,1624.26857677337,-1.56473101137352,0.201150835333508,-7.77889392693398,7.31613716131014e-15,3.5187135871063e-13
DPF1,10.938998081657,3.46819397704515,0.720752428651343,4.81190744446711,1.49496587992185e-06,1.56198159178042e-05
PIK3C2A,1869.50553193094,-0.385331257680034,0.230667624620033,-1.67050429515096,0.0948196303419468,0.201864380773651
MAP4K5,1399.87582950743,0.560692425528268,0.262425095047883,2.13658082290477,0.0326321007652131,0.0896015091242372
CD6,229.292945113742,-0.210510249847343,0.455344455124103,-0.462309900732114,0.643859100628569,0.761310532940376
DPEP1,114.90850302668,3.73028180202694,0.762618901155049,4.89141010847898,1.00116115357451e-06,1.08630914783555e-05
STMN4,1.29716987497014,0.0634143810438747,0.880565190995298,0.0720155437579786,0.942589537839832,0.96815128801854
IL20RA,453.133599537962,3.25097409666449,0.608773844992797,5.34020001582517,9.28440898198452e-08,1.27871632797332e-06
CLCA4,0.636678966864024,1.01415442659106,1.39685724085741,0.726025822057917,0.467822940814363,NA
GLT8D1,1756.17489764148,-1.03115686929033,0.183116103281608,-5.63116433132346,1.78997072048848e-08,2.86963559951327e-07
MARCO,962.017728200645,-4.37990744324594,0.681348547008191,-6.42829204300524,1.29045638190667e-10,3.13906657278857e-09
PRDM11,498.622355962154,1.12083711679216,0.287716042760899,3.89563649644526,9.79411856971697e-05,0.000656915977116601
ZRANB1,611.900882908305,-1.45019076734132,0.263580980290344,-5.5018794062602,3.75763951220244e-08,5.65746470657064e-07
CCT8L1P,0.49038385651618,0.154504474284894,1.4005432028647,0.110317535345477,0.912157550947645,NA
ZNF839,242.338232356602,-0.366913413548225,0.222470431202,-1.6492682266394,0.0990926959427673,0.208832077621498
ZDHHC6,1505.79781693953,-0.31751840579868,0.147215156704265,-2.15683230522609,0.0310187330191556,0.0863055657006809
HSD17B6,14186.6795818466,-5.91286475962559,0.950493607894919,-6.22083590095988,4.94513160361917e-10,1.0478145985291e-08
POU2F2,141.910790946601,0.0470253621904517,0.386090294528988,0.121798871551072,0.90305830766926,0.942483999737486
ARNTL2,1302.60355992747,1.6065607516735,0.426279596583697,3.76879579634786,0.000164037014555895,0.00103548365438409
NUP160,1594.28794087364,-0.130550510378854,0.178708219753507,-0.730523254939939,0.465070403590471,0.616944785448662
IKZF2,192.476962731782,-0.301805929998743,0.444555732310163,-0.678893349165444,0.497205440093404,0.642699390991722
FAM13B,779.631447376505,0.325382897657889,0.18690140076346,1.7409334351094,0.081695247144259,0.181216366168878
RANBP3,2367.71513344606,0.206621901907557,0.117053112859279,1.76519783934287,0.0775305216281852,0.174238813672094
CHPF2,1964.86279613064,0.228892094232183,0.217643504707804,1.05168355260351,0.292944759505721,0.453042042262261
SLC4A7,584.912209625014,0.710469946876138,0.42789317806995,1.66039091831465,0.0968358359390753,0.204968622350959
