Gene ID	IX	YL	ML	ST	FL	PH	RT
Eucgr.H03515	398406.33 	35091.20 	26319.70 	43422.73 	16072.55 	85820.83 	7689.97 
Eucgr.C00769	6929210.00 	942680.00 	1077195.67 	969420.33 	754163.33 	2290460.00 	149493.33 
Eucgr.K00816	375514.67 	56750.87 	71701.30 	56591.30 	22239.25 	154257.47 	13215.96 
Eucgr.C03199	27043300.00 	7011313.33 	4486330.00 	5152170.00 	8168673.33 	5737800.00 	1011677.67 
Eucgr.C03205	502145.00 	115818.63 	84249.93 	88486.83 	259870.44 	55481.50 	10420.12 
Eucgr.C03204	114469.00 	35796.03 	22075.87 	29647.27 	48777.32 	29832.90 	8440.13 
Eucgr.D02653	486587.67 	573964.33 	394547.33 	344259.00 	617902.44 	224731.67 	98195.73 
Eucgr.H01094	1947340.00 	347893.00 	536961.33 	1297713.33 	2519497.78 	2324350.00 	5004180.00 
Eucgr.C03207	141732.87 	364531.83 	67550.47 	312821.43 	274530.46 	25382.67 	9338.85 
Eucgr.F03879	682244.33 	1299605.00 	1017316.00 	979275.67 	1979078.89 	535810.00 	191088.33 
Eucgr.F02588	1609980.00 	1169350.00 	1125438.33 	1084090.00 	941984.22 	954834.67 	578372.33 
Eucgr.B03711	1335271.33 	1489233.33 	761544.33 	408027.33 	27076.36 	756545.00 	92485.87 
Eucgr.F01647	759403.33 	835339.67 	505037.00 	541765.00 	740303.33 	369767.67 	51749.93 
Eucgr.C03728	881977.67 	625781.33 	880918.67 	569207.33 	750498.00 	543790.00 	454783.67 
Eucgr.J00734	658747.67 	3148690.00 	1985573.67 	1524876.67 	493037.78 	631499.00 	112418.17 
Eucgr.G02157	3172776.67 	881694.67 	1020734.33 	818793.33 	822242.22 	1873540.00 	317373.67 
Eucgr.B02942	2983813.33 	927414.00 	1182703.33 	924163.00 	1487914.44 	1945310.00 	960803.00 
Eucgr.J01084	776193.00 	594194.33 	498669.67 	398419.00 	490619.89 	356705.00 	0.00 
Eucgr.K00185	608346.00 	762574.33 	1366623.33 	546746.67 	559844.78 	433302.00 	117107.33 
Eucgr.H01421	227896.67 	817975.00 	236273.33 	317107.67 	273598.06 	130399.07 	36822.63 
Eucgr.D02001	140299.40 	600605.67 	146964.67 	280887.00 	346000.12 	120807.80 	33667.03 
Eucgr.E04308	10125386.67 	914699.67 	841943.33 	1022762.00 	186323.67 	1111132.11 	1256800.00 
Eucgr.F02905	7822696.67 	2209370.00 	2809443.33 	1912533.33 	2436181.11 	4718846.67 	0.00 
Eucgr.D01117	440314.00 	547598.33 	484681.67 	488318.33 	508211.00 	400980.00 	126691.33 
Eucgr.J00183	112667.50 	273990.67 	264305.33 	145759.33 	211426.00 	68387.33 	41277.93 
Eucgr.C00246	20792366.67 	178017.00 	138458.67 	78112.67 	428822.71 	608070.67 	196977.00 
Eucgr.D00476	25758933.33 	197660.33 	157453.67 	116997.33 	470965.67 	903185.00 	448700.33 
Eucgr.A01324	23436733.33 	279174.33 	215040.67 	156967.00 	508326.22 	687487.67 	377540.33 
Eucgr.F04216	789956.00 	47752.77 	4894.62 	20063.09 	58245.99 	16167.80 	6293.47 
Eucgr.F04212	107543.93 	11574.46 	4099.04 	6040.05 	12468.81 	9262.62 	4743.72 
Eucgr.A02372	115560.67 	6584.66 	3754.01 	10354.64 	9978.99 	23745.10 	5712.92 
Eucgr.J01278	1141560.00 	557528.00 	924878.67 	716429.33 	967497.11 	945880.33 	103929.47 
Eucgr.C01769	1205310.00 	626209.67 	700176.67 	798885.67 	1315771.22 	981651.00 	118010.50 
Eucgr.G03380	3133070.00 	2944586.67 	3760350.00 	2677823.33 	3218941.11 	2098386.67 	0.00 
Eucgr.J01639	121931.83 	191094.00 	118567.33 	178763.67 	61183.86 	138642.00 	16450.86 
Eucgr.C01147	299712.67 	360493.67 	516249.33 	291631.33 	440963.00 	289213.00 	9862.91 
Eucgr.C02801	3021616.67 	4252026.67 	6558383.33 	3180806.67 	3315427.78 	2429420.00 	0.00 
Eucgr.I00286	3558470.00 	6119230.00 	7535066.67 	5036603.33 	3732285.56 	2620650.00 	303206.67 
Eucgr.B03971	156769.67 	496751.67 	163434.40 	201305.07 	123013.74 	99323.30 	33503.53 
Eucgr.H00939	136970.33 	303100.67 	177220.43 	144692.67 	151948.44 	176375.00 	28218.83 
Eucgr.F03635	1356514.00 	1955766.67 	3348273.33 	1858310.00 	3048388.89 	1584766.67 	0.00 
Eucgr.K02506	1362214.00 	259394.33 	136128.33 	262589.67 	236833.00 	237437.67 	271666.00 
Eucgr.J01372	33666800.00 	5740690.00 	9596606.67 	7457476.67 	3928055.56 	14878733.33 	0.00 
Eucgr.G02921	9374193.33 	250119.33 	232642.00 	201995.00 	207836.68 	529492.67 	583210.67 
Eucgr.J00040	13448933.33 	1220476.67 	1259336.67 	1425796.67 	1739862.00 	2730866.67 	0.00 
Eucgr.B00451	192503.67 	16934.10 	20323.27 	33793.18 	39598.31 	50679.27 	26624.40 
Eucgr.A01221	2712706.67 	411176.00 	327998.33 	346273.33 	454874.44 	1068049.67 	233099.00 
Eucgr.H01112	6087550.00 	7520983.33 	6887760.00 	6981436.67 	7280308.89 	4409826.67 	1105222.67 
Eucgr.A01172	9605213.33 	44079.27 	46822.83 	40557.57 	173067.27 	547095.00 	235463.00 
Eucgr.K03214	433206.00 	2094.96 	2521.24 	3751.23 	6154.59 	4790.22 	16399.43 
Eucgr.F02177	609183.33 	68616.43 	54991.43 	48371.37 	141988.56 	105179.80 	83242.37 
Eucgr.F00463	494169.67 	156942.00 	146342.33 	137199.00 	197535.89 	190905.00 	79751.70 
Eucgr.C00584	284588.00 	217948.67 	217201.33 	154991.67 	298111.33 	315817.67 	37904.50 
Eucgr.G01977	11264120.00 	99102.93 	88577.43 	80304.93 	315208.96 	485140.00 	494905.67 
Eucgr.K02191	1304446.67 	480767.00 	596565.67 	499528.00 	156501.73 	521116.89 	749640.33 
Eucgr.L02297	144977.97 	54913.90 	49386.22 	81516.83 	10462.32 	107792.60 	7390.18 
Eucgr.F01531	4694066.67 	1078479.67 	2656926.67 	2920043.33 	864926.22 	3775923.33 	364688.00 
Eucgr.I01882	3587020.00 	1631576.67 	2669740.00 	2533936.67 	101910.30 	3763630.00 	836973.33 
Eucgr.A00485	756525.00 	518954.00 	398387.00 	1277493.33 	729433.22 	74992.30 	133139.53 
Eucgr.B02574	248814.00 	166241.00 	297415.00 	490817.67 	250454.69 	262757.00 	222890.33 
Eucgr.B03054	312387.67 	279686.00 	491648.33 	470290.00 	395760.78 	474797.33 	71642.47 
Eucgr.H01923	112741.27 	167667.57 	234334.50 	458527.67 	532887.00 	475920.33 	47138.50 
Eucgr.H02219	1998313.33 	32209.30 	47640.07 	37679.33 	86720.51 	69468.80 	120509.47 
Eucgr.I00880	3409736.67 	168992.00 	285967.67 	332541.00 	426993.44 	879112.00 	479312.33 
Eucgr.D00335	12710066.67 	524155.67 	491803.00 	383944.00 	714811.78 	788736.00 	588703.33 
Eucgr.B03976	2686776.67 	2069793.33 	1670876.67 	1150732.67 	972809.67 	1095153.33 	0.00 
Eucgr.I01644	1889973.33 	5179.77 	1975.96 	3314.07 	1149.61 	115206.80 	39223.70 
Eucgr.I02785	21452566.67 	99157.63 	121023.93 	73861.03 	258609.82 	890484.00 	548066.33 
Eucgr.H02125	563951.00 	3126.20 	0.00 	0.00 	25590.82 	25119.39 	5680.86 
Eucgr.H02217	19256333.33 	77856.17 	96603.57 	77771.10 	800146.33 	741811.67 	1009903.67 
Eucgr.I00888	7135410.00 	295924.33 	289019.67 	774786.33 	815422.33 	627649.00 	736187.67 
Eucgr.K02723	209994.67 	19953.57 	30917.30 	14505.11 	41678.90 	32800.23 	49280.47 
Eucgr.F02961	1716353.33 	253976.00 	631080.67 	459345.00 	1156145.00 	1934453.33 	342462.33 
Eucgr.I01114	239701.33 	602441.67 	890902.33 	1373537.00 	960643.22 	1539553.33 	217347.00 
Eucgr.J00384	2854840.00 	221354.67 	551493.00 	168347.33 	684307.33 	310276.11 	286261.33 
Eucgr.F00995	5863770.00 	86721.60 	81175.27 	46193.60 	182288.28 	103700.10 	303394.33 
Eucgr.H04942	1967786.67 	16103.67 	15162.40 	14414.90 	42426.04 	81075.20 	36482.67 
Eucgr.F00232	2360753.33 	34267.37 	53993.17 	80137.30 	104063.36 	347200.67 	147037.00 
Eucgr.H04216	736868.00 	603981.00 	458127.33 	518551.00 	485029.78 	550509.67 	383804.33 
Eucgr.F02737	296346.00 	306384.00 	303222.67 	244560.00 	315521.44 	286265.67 	174971.00 
Eucgr.A02628	306559.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
Eucgr.J00170	26938300.00 	107512.40 	49124.63 	39673.13 	132866.00 	1077894.33 	0.00 
Eucgr.A00530	5761423.33 	35929.70 	13121.23 	11632.66 	81940.06 	190680.67 	21075.77 
Eucgr.F01211	1360880.00 	19242.47 	16356.03 	12826.02 	32027.47 	32744.53 	54985.33 
Eucgr.K02974	1785826.67 	43659.40 	36172.50 	30290.23 	109166.39 	72689.07 	119264.67 
Eucgr.J00196	3219740.00 	70536.90 	107174.17 	61615.63 	175703.60 	356622.00 	120566.33 
Eucgr.E00070	2027880.00 	48135.53 	230419.33 	60810.43 	106205.99 	326136.33 	40745.13 
Eucgr.G03092	6589176.67 	1092895.67 	900655.00 	850532.00 	341632.67 	888230.00 	429189.67 
Eucgr.H03574	106346.00 	16693.93 	12191.08 	10550.97 	17356.52 	11226.61 	5433.37 
Eucgr.F03235	271225.67 	38755.37 	26102.30 	27201.13 	76781.77 	19170.17 	2570.72 
Eucgr.H04947	758736.00 	73149.57 	79401.37 	64579.77 	79984.74 	218300.33 	65082.50 
Eucgr.K02955	173201.67 	12700.67 	5953.04 	11619.61 	9510.66 	52515.82 	109475.90 
Eucgr.C03303	1239520.00 	365947.33 	420849.33 	372036.33 	267041.11 	295414.00 	324925.33 
Eucgr.H01509	535593.33 	123067.30 	114764.47 	119655.17 	135559.48 	265550.33 	139623.57 
Eucgr.J00985	12160110.00 	1918940.00 	1894410.00 	1133009.00 	1739228.67 	16016733.33 	296256.67 
Eucgr.F02742	2796013.33 	1413936.67 	1291440.00 	1050814.00 	673088.00 	1978460.00 	92479.63 
Eucgr.C00073	516855.00 	352136.67 	282909.00 	199316.00 	311594.11 	340529.00 	62902.03 
Eucgr.G01129	224348.33 	122901.67 	105385.73 	89229.03 	114226.49 	179776.00 	97359.77 
Eucgr.I00187	430990.33 	221095.33 	303772.67 	232187.33 	323820.89 	300560.33 	36352.00 
Eucgr.L01011	227001.27 	30822.11 	98066.53 	50702.43 	82171.62 	486104.27 	26950.01 
Eucgr.K00144	392995.67 	231244.67 	363520.67 	319139.67 	269718.11 	342064.33 	132378.27 
Eucgr.D01711	800203.67 	515144.00 	737750.00 	725211.00 	522941.22 	1116523.00 	0.00 
Eucgr.I02565	224338.00 	209643.67 	160899.00 	147023.33 	183593.22 	176102.33 	148481.67 
Eucgr.A02463	894711.67 	711556.00 	1051233.33 	840968.00 	974118.22 	1436610.00 	205029.33 
Eucgr.B03360	611036.67 	396092.00 	1410984.67 	363848.67 	184556.00 	1208110.00 	60301.03 
Eucgr.K03547	150345.67 	185286.67 	170854.50 	161269.33 	217134.22 	167518.67 	60728.37 
Eucgr.A00614	404155.67 	862281.67 	653832.33 	615715.67 	369923.33 	433296.67 	0.00 
Eucgr.B03636	169614.67 	178269.67 	231378.67 	214223.67 	291120.78 	287370.67 	31382.30 
Eucgr.B01121	367682.67 	442728.67 	660011.33 	377555.33 	927342.67 	413430.67 	81662.67 
Eucgr.E02713	184713.33 	156582.33 	935085.00 	112741.70 	209915.89 	91325.17 	36766.63 
Eucgr.I02119	287311.00 	198414.00 	606857.67 	231517.33 	369165.44 	1035090.00 	22603.47 
Eucgr.B02240	247832.00 	1220912.67 	648487.67 	667923.67 	724217.89 	342540.67 	47940.63 
Eucgr.A01900	115506.30 	658716.00 	2290046.67 	556851.00 	787895.11 	215355.33 	102303.67 
