Gene ID	ST	YL	ML	FL	RT	PH	IX
Eucgr.F02961	7.07 	3.91 	9.72 	17.80 	5.27 	29.79 	26.43 
Eucgr.I01114	23.58 	10.34 	15.30 	16.49 	3.73 	26.43 	4.12 
Eucgr.J00384	3.32 	4.36 	10.86 	6.11 	13.48 	5.64 	56.23 
Eucgr.F00995	0.69 	1.30 	1.22 	2.73 	4.55 	1.56 	87.95 
Eucgr.H04942	0.66 	0.74 	0.70 	1.95 	1.68 	3.73 	90.54 
Eucgr.F00232	2.56 	1.10 	1.73 	3.33 	4.70 	11.10 	75.48 
Eucgr.H04216	13.88 	16.16 	12.26 	12.98 	10.27 	14.73 	19.72 
Eucgr.F02737	12.69 	15.90 	15.73 	16.37 	9.08 	14.85 	15.38 
Eucgr.A02628	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	100.00 
Eucgr.J00170	0.14 	0.38 	0.17 	0.47 	0.00 	3.80 	95.04 
Eucgr.A00530	0.19 	0.59 	0.21 	1.34 	0.34 	3.12 	94.21 
Eucgr.F01211	0.84 	1.26 	1.07 	2.09 	3.60 	2.14 	89.00 
Eucgr.K02974	1.38 	1.99 	1.65 	4.97 	5.43 	3.31 	81.28 
Eucgr.J00196	1.50 	1.72 	2.61 	4.27 	2.93 	8.67 	78.30 
Eucgr.E00070	2.14 	1.69 	8.11 	3.74 	1.43 	11.48 	71.40 
Eucgr.G03092	7.67 	9.85 	8.12 	3.08 	3.87 	8.01 	59.40 
Eucgr.H03574	5.87 	9.28 	6.78 	9.65 	3.02 	6.24 	59.15 
Eucgr.F03235	5.89 	8.39 	5.65 	16.63 	0.56 	4.15 	58.73 
Eucgr.H04947	4.82 	5.46 	5.93 	5.97 	4.86 	16.30 	56.65 
Eucgr.K02955	3.10 	3.39 	1.59 	2.54 	29.20 	14.01 	46.19 
Eucgr.C03303	11.32 	11.14 	12.81 	8.13 	9.89 	8.99 	37.72 
Eucgr.H01509	8.35 	8.58 	8.00 	9.45 	9.74 	18.52 	37.35 
Eucgr.J00985	3.22 	5.46 	5.39 	4.95 	0.84 	45.56 	34.59 
Eucgr.F02742	11.30 	15.21 	13.89 	7.24 	0.99 	21.28 	30.08 
Eucgr.C00073	9.65 	17.04 	13.69 	15.08 	3.04 	16.48 	25.01 
Eucgr.G01129	9.56 	13.17 	11.29 	12.24 	10.43 	19.26 	24.04 
Eucgr.I00187	12.56 	11.96 	16.43 	17.52 	1.97 	16.26 	23.31 
Eucgr.L01011	5.06 	3.08 	9.79 	8.20 	2.69 	48.52 	22.66 
Eucgr.K00144	15.56 	11.27 	17.72 	13.15 	6.45 	16.68 	19.16 
Eucgr.D01711	16.42 	11.66 	16.70 	11.84 	0.00 	25.27 	18.11 
Eucgr.I02565	11.76 	16.77 	12.87 	14.69 	11.88 	14.09 	17.95 
Eucgr.A02463	13.75 	11.64 	17.19 	15.93 	3.35 	23.50 	14.63 
Eucgr.B03360	8.59 	9.35 	33.32 	4.36 	1.42 	28.53 	14.43 
Eucgr.K03547	14.49 	16.65 	15.35 	19.51 	5.46 	15.05 	13.51 
Eucgr.A00614	18.44 	25.82 	19.58 	11.08 	0.00 	12.98 	12.10 
Eucgr.B03636	15.27 	12.70 	16.49 	20.74 	2.24 	20.48 	12.09 
Eucgr.B01121	11.54 	13.54 	20.18 	28.36 	2.50 	12.64 	11.24 
Eucgr.E02713	6.53 	9.07 	54.14 	12.15 	2.13 	5.29 	10.69 
Eucgr.I02119	8.42 	7.21 	22.06 	13.42 	0.82 	37.63 	10.44 
Eucgr.B02240	17.13 	31.31 	16.63 	18.57 	1.23 	8.78 	6.35 
Eucgr.A01900	11.78 	13.94 	48.45 	16.67 	2.16 	4.56 	2.44 
