"list1","list2"
"Module_11","Gpn1,Mllt1,Nolc1,Polr1b,Polr1c,Polr1d,Polr3b,Polr3d,Polr3h,Slc7a6os,Znrd1"
"Module_12","Aebp2,Asxl1,Bmi1,Csnk2a1,Ezh2,Kdm2b,Mecp2,Mtf2,Tnfrsf10b,Ubap2l,Zfp277"
"Module_13","Ddx20,Gemin4,Gemin6,Smn1,Snrpd1,Snupn,Strap,Tgs1,Wdr77,Zpr1"
"Module_14","Aimp2,Dus1l,Eef1e1,Eef1g,Eprs,Iars,Lars,Mars,Qars,Yars2"
"Module_15","Gm21972,Odc1,Pomp,Psmb5,Psmb6,Psmb7,Psmc5,Psmd4,Psme3"
"Module_16","Mocs3,Rnf11,Rnf181,Rnf25,Stub1,Tax1bp1,Trim25,Usp40,Vhl"
"Module_17","Cd3eap,Dusp11,Mybbp1a,Polr1a,Polr1e,Rrn3,Taf1d,Twistnb"
"Module_18","Dnmt3a,H2afy,H2afy2,Ipo11,Jade3,Kdm4c,Mllt10,Uhrf1"
"Module_19","Apob,Gm20425,Ldlr,M6pr,Rps19bp1,Snx9,Tfrc,Wasl"
"Module_20","Abcb1b,Abcb6,Abcc1,Abcc4,Atp12a,Atp1a1,Atp1b3"
"Module_21","Bccip,Cdk4,Cdk6,Fbxl6,Foxk2,Rasgrf1,Sik3"
"Module_22","Acaca,Hivep3,Nkrf,Plagl2,Znf22,Znf281,Znf800"
"Module_23","Cyp51a1,Fdps,Pmvk,Scap,Sqle,Srebf2,Stard4"
"Module_24","Aars,Eif2b1,Eif2b3,Eif2b4,Eif2b5,Hsd17b12"
"Module_25","Gzmb,H2-T23,Il2,Il2rg,Nab2,Tnfrsf18"
"Module_26","Anapc10,Cdc27,Fzr1,Kif20b,Mad2l2,Mapre2"
"Module_27","Cct2,Cct3,Cct7,Clpx,Paics,Tcp1"
"Module_28","Dgcr8,Fkbp4,Gltscr2,Ncl,Nfx1,Npm1"
"Module_29","Bysl,Ltv1,Nob1,Riok1,Riok3,Tsr1"
"Module_30","Nrp1,Plxna1,Plxnd1,Samsn1,Sema4b,Sema7a"
"Module_31","Atl2,Dot1l,Gbp2,Gbp4,Gbp5,Irf1"
"Module_32","Gm16286,Naa10,Naa15,Naa16,Naa25,Naa50"
"Module_33","Fxr1,Fxr2,Pwp1,Rpl5,Rrp12"
"Module_34","Atxn2l,Etf1,Gspt1,Tnrc6a,Zdhhc5"
"Module_35","Eaf1,Ell,Nufip1,Tceb3,Zc3h8"
"Module_36","Hdac7,Ing2,Mbd3,Sap30,Tcf12"
"Module_37","Arl6,Baiap2,Klhdc10,Klhdc2,Rabgap1l"
"Module_38","Btaf1,Chd1,Hells,Isyna1,Smarcad1"
"Module_39","Chaf1a,Chaf1b,Pcna,Poldip2,Ung"
"Module_40","Bcl2l1,Mcl1,Nfil3,Pyroxd1,Tpt1"
"Module_41","Amica1,Cd82,Icam1,Itga5,Itgb1"
"Module_42","Batf,Cd28,Cd69,Fosl1,Il12rb1"
"Module_43","H1f0,Hist1h1a,Hist1h1b,Hist1h1c,Hist1h1e"
"Module_44","Os9,Rnf145,Ubox5,Ubxn2a,Yod1"
"Module_45","Btf3,Ccrn4l,Cnot8,Csde1,Naca"
"Module_46","Nudc,Rps27,Zw10,Zwint"
"Module_47","Eef2,Prpf3,Sart1,Wbp4"
"Module_48","Katna1,Katnal1,Nle1,Nudcd3"
"Module_49","Ak6,Nabp1,Pou2f2,Snapc2"
"Module_50","Timm10b,Timm17a,Timm8b,Tomm40"
"Module_51","Elp2,Elp5,Ikbkap,Kti12"
"Module_52","Hk2,Ipo7,Ranbp1,Xpot"
"Module_53","Cd27,Lag3,Pdcd1,Tbx21"
"Module_54","Alas1,Ormdl2,Ormdl3,Sptlc1"
"Module_55","Carm1,Med1,Med19,Med9"
"Module_56","Fdft1,Hsd17b7,Lss,Msmo1"
"Module_57","Fgf13,Pros1,Tfap4,Tgfb1"
"Module_58","Hmg20b,Irf4,Irf8,Swap70"
"Module_59","Itpkc,Kcna2,Kcna3,Ncs1"
"Module_60","Lsm12,Pabpc1,Pabpc4,Pelo"
"Module_61","Gga2,Smyd2,Smyd3,Smyd5"
"Module_62","Ube2a,Ube2j1,Ube2s,Usp1"
"Module_63","LRWD1,Nrros,Ppid,Rtn3"
"Module_64","Ahsa1,Ahsa2,Clpb,Ttc4"
"Module_65","Cblb,Grap,Ptpn22,Spry1"
"Module_66","Crabp1,Crabp2,Fabp5,Tdg"
"Module_67","Dusp12,Notch1,Txlna,Txlng"
"Module_68","Ambra1,Grwd1,Impdh2,Ppa1"
"Module_69","Abt1,Esf1,Nol10"
"Module_70","Aasdhppt,Fasn,Nacc1"
"Module_71","Lta,Rfwd2,Tnfsf11"
"Module_72","Ciapin1,Nubp1,Tyw1"
"Module_73","Abhd2,Dst,Myo1c"
"Module_74","Acly,Slc25a28,Slc25a37"
"Module_75","Polrmt,Pprc1,Tfb2m"
"Module_76","Gfod1,Uevld,Vps37a"
"Module_77","Mcph1,Rad51d,Sfr1"
"Module_78","Chek1,Faap100,Trex1"
"Module_79","Fbxo30,Rlim,Rnf115"
"Module_80","Pin1,Rnf126,Sssca1"
"Module_81","Larp1,Telo2,Tti1"
"Module_82","Mterf3,Nbr1,Sqstm1"
"Module_83","Csnk1d,Csnk1e,Ssna1"
"Module_84","Drg1,Rwdd4,Zc3h15"
"Module_85","Alcam,Cd6,Sdcbp"
"Module_86","Cox10,Cox11,Cox15"
"Module_87","Gabarap,Gabarapl2,Gphn"
"Module_88","Dhcr24,Pecr,Rdh11"
"Module_89","Klhl11,Klhl9,Ube2o"
"Module_90","Atad1,Nvl,Spata5"
"Module_91","Cad,Grpel1,Grpel2"
"Module_92","Rbpj,Relb,Tnip2"
"Module_93","Metap2,Nmd3,Pa2g4"
"Module_94","Kdm5b,Kdm5c,Kdm5d"
"Module_95","Aen,Ddx21,Rexo4"
"Module_96","Usp10,Usp36,Usp42"
"Module_97","Prkci,Slc2a1,Trip10"
"Module_98","Ak4,Nme1,Nme2"
