PI CGN# & Name ;NBT ID;Type;Origin ;Depth ;Coverage ;Note;NCGRC* ID,
Yu Shi Dou;IGDB-063;Landrace;Liaoning, China;8.22 ;0.80 ;Core collection;
Yu Jiang Wu Yue Niu Mao Huang;IGDB-064;Landrace;Jiangsu, China;9.40 ;0.88 ;Core collection;
You Pi Zhi Hei Dou;IGDB-065;Landrace;Shanxi, China;12.60 ;0.90 ;Core collection;
Yi Zheng Da Li Huang Dou;IGDB-066;Landrace;Jiangsu, China;12.23 ;0.91 ;Core collection;
Xin Xian Xiao Huang Dou;IGDB-067;Landrace;Shanxi, China;12.63 ;0.94 ;Core collection;
Xiao Mi Dou;IGDB-068;Landrace;Shandong, China;7.85 ;0.89 ;Core collection;ZDD02913
Xiao Huang Dou;IGDB-069;Landrace;Guizhou, China;11.76 ;0.92 ;Core collection;ZDD01124
Xiao Bai Qi;IGDB-070;Landrace;Innermongolia, China;9.73 ;0.92 ;Core collection;
Xiao Bai Dou;IGDB-071;Landrace;Shanxi, China;16.76 ;0.85 ;Core collection;ZDD08986
Xiang Dou No.4;IGDB-072;Landrace;Hunan, China;20.92 ;0.91 ;-;
Xia Men Teng Zai Dou;IGDB-073;Landrace;Fujian, China;10.39 ;0.79 ;Core collection;ZDD06377
Xia Hei Dou;IGDB-074;Landrace;Shanxi, China;10.45 ;0.87 ;Core collection;ZDD02400
Tong an Zi Hong Dou;IGDB-075;Landrace;Fujian, China;10.54 ;0.79 ;Core collection;ZDD06378
Tian E Dan;IGDB-076;Landrace;Shandong, China;11.10 ;0.91 ;Core collection;ZDD00921
Tai Xin Niu Mao Huang Yi;IGDB-077;Landrace;Jiangsu, China;9.74 ;0.83 ;Core collection;ZDD04620
Sha Xin Dou;IGDB-078;Landrace;Jiangxi, China;11.26 ;0.93 ;Core collection;ZDD06494
Sha Xian Wu Dou;IGDB-079;Landrace;Fujian, China;11.00 ;0.91 ;Core collection;ZDD06438
Sha Xian Qin Dou;IGDB-080;Landrace;Fujian, China;11.04 ;0.77 ;Core collection;ZDD06413
Qing Dou;IGDB-081;Landrace;Liaoning, China;10.56 ;0.88 ;Core collection;ZDD00294
Pi Xian Nian Zhuang Liu Yue Xian;IGDB-082;Landrace;Jiangsu, China;12.54 ;0.92 ;Core collection;ZDD03740
Pi Xian Da Zi Huo Cao;IGDB-083;Landrace;Jiangsu, China;10.54 ;0.92 ;Core collection;ZDD03739
PI 89138;IGDB-084;Landrace;Hamgyong Puk, North Korea;12.89 ;0.94 ;Hyten et al (2006);
PI 88479;IGDB-085;Landrace;Jilin, China;13.50 ;0.92 ;-;
PI 86024;IGDB-086;Landrace;Hokkaido, Japan;10.68 ;0.93 ;-;WDD00992
PI 84987A;IGDB-087;Landrace;Saitama, Japan;7.91 ;0.92 ;-;
PI 84987;IGDB-088;Landrace;Saitama, Japan;28.62 ;0.93 ;-;
PI 84631;IGDB-089;Landrace;Kyonggi, South Korea;11.34 ;0.93 ;-;
PI 83945-3;IGDB-090;Landrace;Kyonggi, South Korea;10.36 ;0.93 ;-;
PI 80837;IGDB-091;Landrace;Akita, Japan;22.13 ;0.93 ;-;
PI 80822;IGDB-092;Landrace;Liaoning, China;12.19 ;0.94 ;-;
PI 634883;IGDB-093;Improved cultivar;Illinois, United States;10.43 ;0.96 ;Core collection;WDD00569
PI 603756;IGDB-094;Landrace;Zhejiang, China;10.03 ;0.93 ;Hyten et al (2006);ZDD05996
PI 603675;IGDB-095;Landrace;Jiangsu, China;12.85 ;0.92 ;Core collection;ZDD03797
PI 603596;IGDB-096;Landrace;Fujian, China;9.39 ;0.93 ;Hyten et al (2006);ZDD14097
PI 603516;IGDB-097;Landrace;Shaanxi, China;20.25 ;0.94 ;Hyten et al (2006);ZDD10609
PI 603424A;IGDB-098;Landrace;China;25.71 ;0.95 ;Hyten et al (2006);ZDD007871,
