genes,cor.cor,p.value
OR4F5,NA,NA
FO538757.3,-0.0356156036524958,0.366869321496226
FO538757.2,-0.226758961707414,5.90988134519787e-09
SAMD11,0.0527472629156257,0.181253398144559
NOC2L,-0.171678576490649,1.18235873031513e-05
KLHL17,0.0714233205939117,0.0700923833482316
PLEKHN1,0.0460763588682105,0.2429538272159
PERM1,-0.0288641221131133,0.464645620891411
HES4,0.163346678347758,3.11041363551476e-05
ISG15,0.118750523922289,0.00254127922417371
AGRN,0.0431059337545037,0.274706293811694
RNF223,-0.174315642326745,8.62116015496217e-06
C1orf159,-0.156959140826166,6.32732972835345e-05
TTLL10,-0.0177037804190929,0.653840071105094
TNFRSF18,0.198471392183904,3.82535623415109e-07
TNFRSF4,0.411103291187811,1.17959685206477e-27
SDF4,-0.00128882986119233,0.973959033204371
B3GALT6,-0.0542846285784741,0.168843983743746
FAM132A,-0.0924630696212768,0.018929290121347
UBE2J2,-0.030986392550307,0.432449264901514
SCNN1D,0.0380966218041293,0.334416551430052
ACAP3,-0.0480948514648844,0.222903110874753
PUSL1,0.00147244078150382,0.970250760463289
CPSF3L,-0.10619936880175,0.00698761547220446
CPTP,-0.186740787270602,1.82604346546427e-06
TAS1R3,-0.0352313050137528,0.37206580623249
DVL1,-0.0563846580016572,0.15293538920906
MXRA8,0.35578785807421,1.18605494517467e-20
AURKAIP1,-0.138145236051918,0.000438442923888412
CCNL2,-0.176610263029921,6.52425451344829e-06
MRPL20,-0.242414765854004,4.57440140342886e-10
ANKRD65,0.173106994081215,9.96999275967871e-06
TMEM88B,0.0457464897924156,0.246347213152947
VWA1,0.101939347448429,0.00963525882064277
ATAD3C,-0.0821516712872659,0.0371374738908102
ATAD3B,-0.115462853347767,0.00334359650198563
ATAD3A,-0.0860752568594292,0.0289507552880652
TMEM240,0.0261711561488222,0.507347984105218
SSU72,-0.269138018886967,3.77815719084539e-12
C1orf233,-0.026015952941923,0.509870203593299
MIB2,0.0101984333003377,0.796166782770146
MMP23B,0.210563676450671,6.90170769149458e-08
CDK11B,-0.203030462680342,2.03028000889347e-07
SLC35E2B,-0.166496228404448,2.16973049235531e-05
CDK11A,-0.197195587113492,4.55536108714806e-07
SLC35E2,-0.000179505717458795,0.996372434599148
NADK,-0.064962004185301,0.0995399101008585
GNB1,0.14409844372263,0.000243625938980829
CALML6,-0.108687535903957,0.00576237384211226
TMEM52,-0.0976452991809678,0.0131724556110262
CFAP74,-0.0649930968902093,0.0993776565590448
GABRD,0.0243458765518524,0.537419279595833
PRKCZ,-0.196874300627924,4.75933447758814e-07
C1orf86,-0.0703999449742409,0.0742134665709748
SKI,0.19273306761721,8.3165404889752e-07
MORN1,-0.0528450874757523,0.18044418348329
RER1,0.0444558791058358,0.259941667738223
PEX10,-0.11834506074703,0.00262970242774664
PLCH2,-0.00880283224368826,0.82356572688712
PANK4,0.034691855919693,0.379436602296038
HES5,-0.0946545185684601,0.0162704116954957
TNFRSF14,-0.040173115666453,0.308720844700131
FAM213B,-0.222007675562874,1.23961654826712e-08
MMEL1,-0.0834823975661576,0.0341641888284235
TTC34,-0.0111345574834562,0.777925728393394
ACTRT2,-0.00736379251839724,0.852043589610919
PRDM16,0.0416746697498265,0.290973353313691
ARHGEF16,-0.198080785061864,4.0359659066544e-07
MEGF6,0.105011950391615,0.00765077669433056
TPRG1L,-0.172172545491154,1.1148279605582e-05
WRAP73,-0.0909372544891697,0.0209975064089893
TP73,0.0769545931181025,0.0509393896827951
CCDC27,0.0863071581347313,0.0285196722975526
SMIM1,-0.0258233469388854,0.513009337463647
LRRC47,-0.179135423538487,4.78121027874664e-06
CEP104,-0.0933107061977714,0.0178589604095909
DFFB,-0.126276869729539,0.00132188747699022
C1orf174,-0.0585998424001571,0.137415401154277
AJAP1,0.354076922188995,1.86153018611705e-20
NPHP4,0.076422698784808,0.0525673056706813
KCNAB2,0.13142753597036,0.000827913041683636
CHD5,-0.0336717090675524,0.393618242391594
RPL22,-0.333177124264199,3.6851371815135e-18
RNF207,0.0269221923222017,0.495235800464232
ICMT,0.0958601490870091,0.0149520573395535
HES3,-0.005475287052582,0.889704357558977
GPR153,-0.0901759733507141,0.0221009639241337
ACOT7,0.0107348884860885,0.78569927706141
HES2,-0.0452540408521745,0.251474499540349
ESPN,-0.152330906147524,0.000104076657581292
TNFRSF25,-0.102601343498624,0.00917265870531043
PLEKHG5,-0.0616512815424791,0.118056902652113
NOL9,0.122713536738683,0.00180931287844216
TAS1R1,-0.0318277215743892,0.420051339929232
ZBTB48,-0.116773834748073,0.00299949379923509
KLHL21,0.129767045663619,0.000964484311862631
PHF13,-0.093716221090524,0.0173658867431804
THAP3,-0.0787246547932304,0.0458222754075952
DNAJC11,-0.141574775085724,0.000313413496372486
CAMTA1,-0.162987386697078,3.23950222672704e-05
VAMP3,0.0709373252272298,0.0720254852251107
PER3,0.100038631894234,0.0110808544488
UTS2,-0.0748094579174211,0.0577722063997688
TNFRSF9,0.544808707362253,4.66889638087835e-51
PARK7,-0.180625106838384,3.97204691708214e-06
ERRFI1,0.148521596989524,0.000155116153930364
SLC45A1,0.205572255311183,1.41710914119505e-07
RERE,-0.0733671259944574,0.0627808879105508
ENO1,0.0240564226212935,0.542268778347644
CA6,-0.0311688674273623,0.429742487375323
SLC2A7,0.0176423012404205,0.654964295464855
SLC2A5,0.378164592614331,2.52254414528592e-23
GPR157,-0.118987980716381,0.00249076297841405
H6PD,-0.0514243087613174,0.192462184913515
SPSB1,0.236000118546906,1.33417921957763e-09
SLC25A33,-0.184812753647866,2.33947363822947e-06
TMEM201,-0.10682566906226,0.00665900055471047
PIK3CD,0.409584692222441,1.91529505545784e-27
CLSTN1,-0.10317212475188,0.0087897883749017
AL357140.1,0.03955979816019,0.316171108459506
CTNNBIP1,-0.0926653101995352,0.0186689571728101
LZIC,-0.0474585149165327,0.229092399066185
NMNAT1,-0.171374212808688,1.22588916075694e-05
RBP7,0.125311100787837,0.0014404048067049
UBE4B,-0.122128027545137,0.00190362264185416
KIF1B,0.107706616991334,0.00622023192799468
PGD,-0.0718500598885413,0.0684301975371735
APITD1-CORT,-0.0586542140976282,0.137050297397757
APITD1,-0.187412117637596,1.67410052664817e-06
CORT,-0.0156088861194651,0.692574511625715
DFFA,-0.134867559455731,0.00060004058514325
PEX14,-0.0698307833244918,0.0765896343221542
CASZ1,-0.110661835011373,0.00493162694316552
C1orf127,-0.0120061121782315,0.761051692696285
TARDBP,-0.268749441699949,4.06717336764081e-12
MASP2,0.0797220265675679,0.0431342544378262
SRM,-0.0186704988352027,0.63626676344442
EXOSC10,-0.211147455963373,6.33737576596595e-08
MTOR,0.0753412826767814,0.0560110505265925
ANGPTL7,0.229263100531555,3.97313456407562e-09
UBIAD1,-0.253674023870298,6.48265760832257e-11
PTCHD2,-0.0139416059395301,0.723992389447081
FBXO2,-0.0369769561657357,0.348826788139897
FBXO44,-0.0660071950750838,0.0942001597729177
FBXO6,0.165838629283805,2.34046132552776e-05
MAD2L2,0.0780626583766341,0.0476830711427338
DRAXIN,0.222426259111851,1.16207103689709e-08
AGTRAP,0.0934999537551766,0.0176273478794719
C1orf167,-0.00235516524754523,0.952433308158181
MTHFR,0.0415063110186978,0.292928469976246
CLCN6,0.0659986795602097,0.0942427197264294
NPPA,-0.0217381020842214,0.581877364971956
NPPB,0.149310488372043,0.000142924060387376
KIAA2013,-0.125719297131222,0.00138916739995326
PLOD1,0.247661508112757,1.86252958465403e-10
MFN2,-0.0627225293049642,0.111791290857307
MIIP,-0.128952371849681,0.00103884367126674
TNFRSF8,0.400597778338013,3.2065465438931e-26
TNFRSF1B,0.25557068224807,4.62033523325101e-11
VPS13D,0.123852547324615,0.00163801333387293
DHRS3,-0.200093537721917,3.05853016751641e-07
AADACL4,0.00455000051843576,0.908253035027484
AADACL3,0.0108756411225049,0.782959166580951
C1orf158,-0.0020507101996638,0.958576387608141
PRAMEF12,0.0294825086288039,0.455129333063661
PRAMEF1,0.0191968618441665,0.626782746155307
PRAMEF11,NA,NA
HNRNPCL1,0.111453368171749,0.00463010332391407
PRAMEF2,0.0327397022861752,0.406850513593544
PRAMEF4,0.0294825086288039,0.455129333063661
PRAMEF10,0.186362155503105,1.91748101968124e-06
PRAMEF7,NA,NA
PRAMEF6,0.0294825086288039,0.455129333063661
WI2-3308P17.2,NA,NA
PRAMEF25,NA,NA
PRAMEF26,NA,NA
HNRNPCL3,NA,NA
HNRNPCL2,0.0666536298744671,0.0910139471882755
HNRNPCL4,NA,NA
PRAMEF18,-0.00235516524754523,0.952433308158181
PRAMEF5,NA,NA
PRAMEF8,-0.00235516524754523,0.952433308158181
PRAMEF9,0.15274404643705,9.96114331025413e-05
PRAMEF14,NA,NA
PRAMEF19,0.140377936365791,0.000352672573731549
PRAMEF17,0.0253324592800032,0.521055118310454
PRAMEF20,0.0294825086288039,0.455129333063661
LRRC38,0.131696460969325,0.000807557915123522
PDPN,0.615891180461691,1.65011410982384e-68
PRDM2,0.0938136065911953,0.017249262571319
KAZN,-0.0402002905101586,0.308393440147928
TMEM51,-0.040002386818895,0.310783042277165
C1orf195,0.219596464189511,1.7939738717038e-08
FHAD1,0.138057146089482,0.000442195734229364
EFHD2,-0.119367560241992,0.00241191246480668
CTRC,-0.0143560702528953,0.716136418287855
CELA2A,0.0180171675198056,0.648121608344558
CELA2B,0.157481287471469,5.97656250476678e-05
CASP9,-0.0441875443337419,0.262831976099788
DNAJC16,-0.0840727118748704,0.0329116783385322
AGMAT,-0.249337914838115,1.39158472248515e-10
DDI2,-0.0146683942523611,0.710236158934857
RSC1A1,NA,NA
PLEKHM2,0.185735353638824,2.07857179138326e-06
SLC25A34,0.0080733802173172,0.837974724348577
TMEM82,-0.049093856695139,0.213428776234545
FBLIM1,-0.00684430565344387,0.862373490221048
UQCRHL,-0.073518122013569,0.0622402906591801
SPEN,0.00411845213345182,0.916921757413375
ZBTB17,-0.00860392847165118,0.82748904484947
C1orf64,-0.0134992537252753,0.732409059056284
HSPB7,0.0612034549273803,0.120756290791492
CLCNKA,0.0231220454910147,0.558070344203363
CLCNKB,-0.0123436058590579,0.754547376861211
FAM131C,0.0294748569518574,0.455246410978598
EPHA2,0.00623132100712314,0.874592711183193
ARHGEF19,-0.192815175926953,8.22597171878853e-07
RSG1,0.0107974264170095,0.784481486883796
FBXO42,0.0914847314801747,0.0202338556867194
SZRD1,0.0630622104367269,0.109860139844574
SPATA21,0.0595248791387842,0.131305000816424
NECAP2,0.203566898419043,1.88263427316419e-07
NBPF1,0.0148203363264209,0.707371977615121
CROCC,-0.13504683899035,0.000589935524604126
MFAP2,0.275740704166666,1.06021651538695e-12
ATP13A2,-0.0398949883828586,0.312084921213755
SDHB,-0.0953641916381238,0.0154825693871917
PADI2,-0.13129684183122,0.000837975902088409
PADI1,0.010035333037707,0.799356615465318
PADI3,0.0182678941772975,0.64356137258033
PADI4,0.60311621192714,4.79883670845991e-65
PADI6,0.00132012947242583,0.973326852986721
RCC2,-0.185145594244948,2.24192546839238e-06
ARHGEF10L,-0.208008059994943,9.99753742771747e-08
ACTL8,-0.0324524151371888,0.410982085373472
IGSF21,0.48322345856353,5.48503116446875e-39
KLHDC7A,-0.097751615837495,0.0130726254796152
PAX7,-0.034444406572968,0.38284741009398
TAS1R2,-0.0271644557758555,0.491361875470858
RP13-279N23.2,-0.00235516524754523,0.952433308158181
ALDH4A1,-0.16994266587258,1.45191023398416e-05
IFFO2,-0.0557688811673663,0.157477510741958
UBR4,0.0652445973643202,0.0980729578632343
EMC1,0.011681933026343,0.767315316083322
MRTO4,-0.222078339596467,1.22618258581644e-08
AKR7A3,-0.039468346642605,0.317292018402809
AKR7A2,-0.00466494713254004,0.905945840566912
PQLC2,-0.0567094257198199,0.150580225758475
CAPZB,0.0772947850795475,0.049920448837681
MINOS1,-0.285987794767222,1.37697338127236e-13
MINOS1-NBL1,0.0107277786478147,0.785837758884904
NBL1,-0.10133565643731,0.0100750855076496
HTR6,0.00387010418396926,0.921914981776018
TMCO4,-0.148359805169836,0.00015773439723741
RNF186,-0.168727977666409,1.67427032406085e-05
OTUD3,0.0717561170685333,0.0687933104589219
PLA2G2E,0.00298131278043746,0.939808604834999
PLA2G2A,0.106410366293463,0.00687531849327999
PLA2G5,0.165102190896244,2.54678154185856e-05
PLA2G2D,0.170092408066709,1.42652977745652e-05
PLA2G2F,0.063729262916038,0.106144436349236
PLA2G2C,0.0441880071217762,0.262826972300852
UBXN10,-0.0171939448043949,0.663186533730174
VWA5B1,-0.042986877013898,0.276035325409684
CAMK2N1,-0.0745787631357476,0.0585503151955576
MUL1,-0.0108486076297231,0.783485235525642
FAM43B,0.250632309333466,1.10950223282279e-10
CDA,0.136163011833676,0.000530494373858584
PINK1,0.101941538926771,0.0096336938026228
DDOST,-0.037215902043488,0.34571895637169
KIF17,0.37031731116752,2.30650887441236e-22
SH2D5,0.0311553512648314,0.429942644753531
HP1BP3,-0.048466222879414,0.219346640507787
EIF4G3,-0.0399297730706736,0.311662870779824
ECE1,0.0134590015726331,0.733176553893532
NBPF3,-0.0127633423259996,0.746482259536071
ALPL,0.502741434631045,1.50468177801704e-42
RAP1GAP,-0.00828050750129452,0.83387756524125
USP48,0.0137983848470796,0.726713882592984
LDLRAD2,0.173293125687987,9.74991787432768e-06
HSPG2,0.33282247477499,4.01733903161999e-18
CELA3B,-0.00432620683054328,0.912747193148633
CELA3A,0.00543841741955722,0.890442378911527
CDC42,0.0271925844288713,0.490913137224815
WNT4,0.00609117592920078,0.877390664000475
ZBTB40,0.0347444231592203,0.378714431201769
EPHA8,-0.00133398526173784,0.973047003199274
C1QA,0.442192276299314,3.29328041784261e-32
C1QC,0.509971121618248,6.29000966771765e-44
C1QB,0.490488892001309,2.75499886186349e-40
EPHB2,-0.212547711883966,5.15960012216424e-08
