"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene"
"SMARCA2",0.987,3.15433276773107,0.974,3.15433276773107,0.995,0.137,"OO","SMARCA2"
"HMGB3",0.987,2.87783453212698,0.974,2.87783453212698,0.998,0.197,"OO","HMGB3"
"SPDL1",0.987,0.873663870828056,0.974,0.873663870828056,0.995,0.1,"OO","SPDL1"
"ADAD1",0.986,4.64493385291381,0.972,4.64493385291381,0.974,0.009,"OO","ADAD1"
"TGM7",0.986,4.56785098757428,0.972,4.56785098757428,0.976,0.008,"OO","TGM7"
"CCNB2",0.986,3.97405409228246,0.972,3.97405409228246,0.978,0.029,"OO","CCNB2"
"DAZL",0.986,3.95212022983088,0.972,3.95212022983088,0.976,0.013,"OO","DAZL"
"CENPU",0.986,3.04879714197097,0.972,3.04879714197097,0.993,0.072,"OO","CENPU"
"TFF3",0.985,5.004066311292,0.97,5.004066311292,0.971,0.018,"OO","TFF3"
"PPP1R3A",0.985,4.59548632466755,0.97,4.59548632466755,0.974,0.009,"OO","PPP1R3A"
"GLB1L3",0.985,4.25102637057683,0.97,4.25102637057683,0.974,0.017,"OO","GLB1L3"
"TACC3",0.985,3.83219683800746,0.97,3.83219683800746,0.976,0.025,"OO","TACC3"
"ATP6V1D",0.985,3.16172234501712,0.97,3.16172234501712,0.998,0.352,"OO","ATP6V1D"
"AKR1B1",0.985,2.71865168122496,0.97,2.71865168122496,1,0.477,"OO","AKR1B1"
"OXT",0.984,5.22473616364044,0.968,5.22473616364044,0.969,0.013,"OO","OXT"
"EMILIN2",0.984,4.02858916642312,0.968,4.02858916642312,0.981,0.074,"OO","EMILIN2"
"SLC25A31",0.984,3.99975582384399,0.968,3.99975582384399,0.971,0.006,"OO","SLC25A31"
"HSF2BP",0.984,3.66922843968784,0.968,3.66922843968784,0.974,0.012,"OO","HSF2BP"
"CBR4",0.984,3.39297815237739,0.968,3.39297815237739,0.99,0.069,"OO","CBR4"
"ASAP2",0.984,3.0152092305429,0.968,3.0152092305429,0.995,0.129,"OO","ASAP2"
"EIF4ENIF1",0.984,2.87100726293303,0.968,2.87100726293303,0.995,0.08,"OO","EIF4ENIF1"
"BPGM",0.984,2.8564443154335,0.968,2.8564443154335,0.995,0.139,"OO","BPGM"
"SMYD3",0.984,1.47821298604068,0.968,1.47821298604068,0.995,0.12,"OO","SMYD3"
"ENSMFAG00000043380",0.983,4.81347542061936,0.966,4.81347542061936,0.971,0.009,"OO","ENSMFAG00000043380"
"RPL39L",0.983,4.22118241590891,0.966,4.22118241590891,0.969,0.009,"OO","RPL39L"
"C9orf153",0.983,4.19875434405892,0.966,4.19875434405892,0.967,0.009,"OO","C9orf153"
"C21orf59",0.983,4.13129614839793,0.966,4.13129614839793,0.998,0.15,"OO","C21orf59"
"PROSER1",0.983,3.99897550287356,0.966,3.99897550287356,0.983,0.078,"OO","PROSER1"
"STK31",0.983,3.99774907368103,0.966,3.99774907368103,0.969,0.01,"OO","STK31"
"HHEX",0.983,3.40128856676277,0.966,3.40128856676277,0.983,0.042,"OO","HHEX"
"BRCA2",0.983,3.35004428015644,0.966,3.35004428015644,0.981,0.03,"OO","BRCA2"
"MTIF3",0.983,2.7839477044667,0.966,2.7839477044667,0.998,0.124,"OO","MTIF3"
"GLMN",0.983,2.61911265251722,0.966,2.61911265251722,0.998,0.117,"OO","GLMN"
"XYLT1",0.982,4.26913680512689,0.964,4.26913680512689,0.967,0.008,"OO","XYLT1"
"ZP1",0.982,3.98941220617574,0.964,3.98941220617574,0.971,0.013,"OO","ZP1"
"ENSMFAG00000031914",0.982,3.98037296024325,0.964,3.98037296024325,0.969,0.022,"OO","ENSMFAG00000031914"
"KHDRBS3",0.982,3.62697380160094,0.964,3.62697380160094,0.974,0.027,"OO","KHDRBS3"
"ARMC2",0.982,3.55369722391488,0.964,3.55369722391488,0.99,0.065,"OO","ARMC2"
"PDZK1",0.982,3.36380032288737,0.964,3.36380032288737,0.974,0.023,"OO","PDZK1"
"KIF15",0.982,2.85163604828931,0.964,2.85163604828931,0.978,0.09,"OO","KIF15"
"ZNF215",0.982,2.83224469233311,0.964,2.83224469233311,0.976,0.028,"OO","ZNF215"
"SMC2",0.982,2.82508746239038,0.964,2.82508746239038,0.993,0.094,"OO","SMC2"
"SFR1",0.982,2.77431255207754,0.964,2.77431255207754,0.993,0.097,"OO","SFR1"
"KIF20B",0.982,2.51899677967747,0.964,2.51899677967747,1,0.14,"OO","KIF20B"
"DEDD",0.982,2.27223062484012,0.964,2.27223062484012,0.998,0.163,"OO","DEDD"
"ENSMFAG00000043170",0.982,2.2173736728916,0.964,2.2173736728916,0.998,0.384,"OO","ENSMFAG00000043170"
