"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene"
"NCAPH",0.969,3.08135105610303,0.938,3.08135105610303,0.947,0.026,"OO","NCAPH"
"EDRF1",0.969,2.71141754281534,0.938,2.71141754281534,0.986,0.086,"OO","EDRF1"
"ALAS1",0.969,2.70719368413103,0.938,2.70719368413103,0.998,0.283,"OO","ALAS1"
"MTERF3",0.969,2.33046952243983,0.938,2.33046952243983,0.986,0.165,"OO","MTERF3"
"CENPF",0.969,1.59481306637745,0.938,1.59481306637745,0.99,0.131,"OO","CENPF"
"ECT2",0.969,1.26826244577753,0.938,1.26826244577753,0.955,0.04,"OO","ECT2"
"KIT",0.968,3.24420556393415,0.936,3.24420556393415,0.945,0.018,"OO","KIT"
"CCNB3",0.968,3.13092340831039,0.936,3.13092340831039,0.945,0.014,"OO","CCNB3"
"SPC25",0.968,2.95307154731013,0.936,2.95307154731013,0.945,0.019,"OO","SPC25"
"MTFR2",0.968,2.76701329090084,0.936,2.76701329090084,0.957,0.057,"OO","MTFR2"
"LPIN2",0.968,2.41294822331593,0.936,2.41294822331593,0.978,0.095,"OO","LPIN2"
"WDR76",0.968,2.40652438516061,0.936,2.40652438516061,0.95,0.027,"OO","WDR76"
"HMMR",0.968,2.22411387835495,0.936,2.22411387835495,0.947,0.029,"OO","HMMR"
"PBK",0.968,1.68472548708401,0.936,1.68472548708401,0.95,0.037,"OO","PBK"
"KCNK16",0.967,3.41257890486159,0.934,3.41257890486159,0.935,0.005,"OO","KCNK16"
"GDPD4",0.967,3.41160038723753,0.934,3.41160038723753,0.938,0.007,"OO","GDPD4"
"SAXO1",0.967,3.09912939068383,0.934,3.09912939068383,0.94,0.01,"OO","SAXO1"
"PRDM15",0.967,3.08357868003949,0.934,3.08357868003949,0.947,0.046,"OO","PRDM15"
"WDCP",0.967,2.93851818878509,0.934,2.93851818878509,0.95,0.022,"OO","WDCP"
"MGAT4A",0.967,2.88575581414773,0.934,2.88575581414773,0.957,0.041,"OO","MGAT4A"
"SVIP",0.967,2.47010829959684,0.934,2.47010829959684,0.962,0.087,"OO","SVIP"
"CMC4",0.967,2.41282741857549,0.934,2.41282741857549,0.978,0.163,"OO","CMC4"
"TDP1",0.967,2.30558742196449,0.934,2.30558742196449,0.974,0.09,"OO","TDP1"
"C3orf14",0.967,2.2869498700862,0.934,2.2869498700862,0.971,0.108,"OO","C3orf14"
"TCOF1",0.967,2.25943330071777,0.934,2.25943330071777,0.974,0.092,"OO","TCOF1"
"EIF5B",0.967,2.2497099048735,0.934,2.2497099048735,1,0.523,"OO","EIF5B"
"NASP",0.967,2.22134523013895,0.934,2.22134523013895,0.998,0.485,"OO","NASP"
"VAMP8",0.967,2.15640165468317,0.934,2.15640165468317,0.981,0.169,"OO","VAMP8"
"CDCA2",0.967,2.08815818106237,0.934,2.08815818106237,0.943,0.017,"OO","CDCA2"
"NDC80",0.967,2.08103465569797,0.934,2.08103465569797,0.957,0.039,"OO","NDC80"
"EXOSC9",0.967,2.07359174657357,0.934,2.07359174657357,0.976,0.094,"OO","EXOSC9"
"STK24",0.967,2.04707826470301,0.934,2.04707826470301,0.995,0.217,"OO","STK24"
"CEP152",0.967,1.8184937395395,0.934,1.8184937395395,0.957,0.038,"OO","CEP152"
"VRK1",0.967,1.25143735307579,0.934,1.25143735307579,0.986,0.144,"OO","VRK1"
"LDHC",0.966,3.33230077652047,0.932,3.33230077652047,0.94,0.017,"OO","LDHC"
"ENSMFAG00000040381",0.966,3.31674383809952,0.932,3.31674383809952,0.938,0.015,"OO","ENSMFAG00000040381"
"NCAM2",0.966,2.83165953580078,0.932,2.83165953580078,0.959,0.054,"OO","NCAM2"
"TEX26",0.966,2.8014826897478,0.932,2.8014826897478,0.938,0.015,"OO","TEX26"
"PCCB",0.966,2.72092632402821,0.932,2.72092632402821,0.969,0.136,"OO","PCCB"
"TRDN",0.966,2.63309962559867,0.932,2.63309962559867,0.943,0.016,"OO","TRDN"
"TERB1",0.966,2.40168434178434,0.932,2.40168434178434,0.964,0.057,"OO","TERB1"
"GDAP1",0.966,2.33449837013953,0.932,2.33449837013953,0.957,0.037,"OO","GDAP1"
